index,date,ERROR_ID,STACK_ERROR_UNDER,CELL_ERROR_UNDER,MIN_CELL_VOLTAGE,5,6,7,8
322,1765225077625,2,2,1,3.27,0,0,0,0
323,1765225079357,2,2,1,3.27,0,0,0,0
324,1765225079442,2,2,1,3.27,0,0,0,0
325,1765225081126,2,2,1,3.27,0,0,0,0
326,1765225082757,2,2,1,3.28,0,0,0,0
327,1765225082924,2,2,1,3.28,0,0,0,0
328,1765225084458,2,2,1,3.28,0,0,0,0
329,1765225084524,2,2,1,3.28,0,0,0,0
330,1765225084709,2,2,1,3.28,0,0,0,0
331,1765225084741,2,2,1,3.28,0,0,0,0
332,1765225092692,0,4,1,3.28,0,0,0,0
333,1765225099610,0,4,1,3.28,0,0,0,0
334,1765225099775,0,4,1,3.28,0,0,0,0
335,1765225101459,0,4,1,3.28,0,0,0,0
336,1765225101657,0,4,1,3.28,0,0,0,0
337,1765225103459,0,4,1,3.28,0,0,0,0
338,1765225134324,0,4,1,3.28,0,0,0,0
339,1765225136142,0,4,1,3.28,0,0,0,0
340,1765225139890,0,4,1,3.28,0,0,0,0
341,1765225143708,0,4,1,3.28,0,0,0,0
342,1765225145040,0,4,1,3.28,0,0,0,0
343,1765225149206,0,4,1,3.28,0,0,0,0
344,1765225150841,0,4,1,3.28,0,0,0,0
345,1765225252522,0,4,1,3.28,0,0,0,0
346,1765225263222,0,4,1,3.28,0,0,0,0
347,1765225263390,0,4,1,3.28,0,0,0,0
348,1765225266721,0,4,1,3.28,0,0,0,0
349,1765225273539,0,2,3,3.23,0,0,0,0
350,1765225280303,0,2,3,3.24,0,0,0,0
351,1765225280304,0,2,3,3.23,0,0,0,0
352,1765225285106,0,4,1,3.28,0,0,0,0
353,1765225288655,0,2,3,3.27,0,0,0,0
354,1765225297422,0,2,1,3.28,0,0,0,0
355,1765225297570,0,4,1,3.28,0,0,0,0
356,1765225299406,0,4,1,3.28,0,0,0,0
357,1765225309338,0,4,1,3.28,0,0,0,0
358,1765225309489,0,4,1,3.28,0,0,0,0
359,1765225311273,0,2,3,3.25,0,0,0,0
360,1765225314607,0,2,3,3.14,0,0,0,0
361,1765225321405,0,2,3,3.17,0,0,0,0
362,1765225331905,0,2,3,3.06,0,0,0,0
363,1765225340288,0,2,3,3.27,0,0,0,0
364,1765225343737,0,2,1,3.27,0,0,0,0
365,1765225345321,0,2,3,3.27,0,0,0,0
366,1765225347090,0,2,3,2.76,0,0,0,0
367,1765225350354,0,2,3,2.93,0,0,0,0
368,1765225352104,0,2,3,3.06,0,0,0,0
369,1765225352305,0,2,3,2.93,0,0,0,0
370,1765225353838,0,2,3,3.12,0,0,0,0
371,1765225359254,0,2,1,3.26,0,0,0,0
372,1765225366156,0,4,3,3.02,0,0,0,0
373,1765225367940,0,4,3,2.98,0,0,0,0
374,1765225369621,0,4,3,2.96,0,0,0,0
375,1765225374454,0,4,3,2.76,0,0,0,0
376,1765225382671,0,1,3,3.24,0,0,0,0
377,1765225382854,0,1,3,3.25,0,0,0,0
378,1765225394586,0,1,3,3.25,0,0,0,0
379,1765225400089,0,4,3,3.2,0,0,0,0
380,1765225403471,0,4,3,3.22,0,0,0,0
381,1765225405072,0,1,3,3.26,0,0,0,0
382,1765225405288,0,2,1,3.26,0,0,0,0
383,1765225408504,0,4,3,3.26,0,0,0,0
384,1765225413456,0,2,3,3.12,0,0,0,0
385,1765225415221,0,2,1,3.26,0,0,0,0
386,1765225416755,0,4,3,3.23,0,0,0,0
387,1765225418320,0,2,1,3.27,0,0,0,0
388,1765225418454,0,2,1,3.27,0,0,0,0
389,1765225421771,0,2,1,3.27,0,0,0,0
390,1765225423520,0,2,1,3.27,0,0,0,0
391,1765225425138,0,2,1,3.27,0,0,0,0
392,1765225445673,0,2,1,3.27,0,0,0,0
393,1765225491437,0,2,1,3.28,0,0,0,0
394,1765225498271,0,2,1,3.28,0,0,0,0
395,1765225499837,0,2,1,3.28,0,0,0,0
396,1765225500470,0,2,1,3.28,0,0,0,0
397,1765225505071,0,2,1,3.28,0,0,0,0
398,1765225505702,0,2,1,3.28,0,0,0,0
399,1765225506170,0,2,1,3.28,0,0,0,0
400,1765225508652,0,2,1,3.28,0,0,0,0
401,1765225509384,0,2,1,3.28,0,0,0,0
402,1765225510619,0,2,1,3.28,0,0,0,0
403,1765225511253,0,2,1,3.28,0,0,0,0
404,1765225513219,0,2,1,3.28,0,0,0,0
405,1765225513854,0,2,1,3.28,0,0,0,0
406,1765225515851,0,2,1,3.28,0,0,0,0
407,1765225517085,0,4,3,3.28,0,0,0,0
408,1765225517687,0,4,3,3.28,0,0,0,0
409,1765225518302,0,2,1,3.28,0,0,0,0
410,1765225520319,0,2,1,3.28,0,0,0,0
411,1765225521080,0,2,1,3.28,0,0,0,0
412,1765225524170,0,2,1,3.28,0,0,0,0
413,1765225528189,0,2,1,3.28,0,0,0,0
414,1765225528805,0,2,1,3.28,0,0,0,0
415,1765225529422,0,2,1,3.28,0,0,0,0
416,1765225530071,0,2,1,3.28,0,0,0,0
417,1765225534104,0,2,1,3.28,0,0,0,0
418,1765225534755,0,2,1,3.28,0,0,0,0
419,1765225535972,0,2,1,3.28,0,0,0,0
420,1765225539223,0,2,1,3.28,0,0,0,0
421,1765225540023,0,2,1,3.28,0,0,0,0
422,1765225540637,0,2,1,3.28,0,0,0,0
423,1765225541272,0,2,1,3.28,0,0,0,0
424,1765225541886,0,2,1,3.28,0,0,0,0
425,1765225542520,0,2,1,3.28,0,0,0,0
426,1765225551020,0,2,1,3.28,0,0,0,0
427,1765225551835,0,2,1,3.28,0,0,0,0
428,1765225555701,0,2,1,3.28,0,0,0,0
429,1765225556319,0,2,1,3.28,0,0,0,0
430,1765225556969,0,2,1,3.28,0,0,0,0
431,1765225560202,0,2,1,3.28,0,0,0,0
432,1765225561018,0,2,1,3.28,0,0,0,0
