index,date,REGEN_BRAKE_STATE,1,2,3,4,5,6,7
728,1765218833908,0,0,0,0,0,0,0,0
729,1765218834224,0,0,0,0,0,0,0,0
730,1765218834658,0,0,0,0,0,0,0,0
731,1765218835374,0,0,0,0,0,0,0,0
732,1765218835658,0,0,0,0,0,0,0,0
733,1765218835791,0,0,0,0,0,0,0,0
734,1765218836808,0,0,0,0,0,0,0,0
735,1765218837658,0,0,0,0,0,0,0,0
736,1765218837924,0,0,0,0,0,0,0,0
737,1765218838408,0,0,0,0,0,0,0,0
738,1765218838691,0,0,0,0,0,0,0,0
739,1765218839391,0,0,0,0,0,0,0,0
740,1765218840124,0,0,0,0,0,0,0,0
741,1765218840258,0,0,0,0,0,0,0,0
742,1765218840541,0,0,0,0,0,0,0,0
743,1765218840990,0,0,0,0,0,0,0,0
744,1765218841258,0,0,0,0,0,0,0,0
745,1765218841407,0,0,0,0,0,0,0,0
746,1765218841741,0,0,0,0,0,0,0,0
747,1765218842174,0,0,0,0,0,0,0,0
748,1765218842441,0,0,0,0,0,0,0,0
749,1765218842891,0,0,0,0,0,0,0,0
750,1765218843174,0,0,0,0,0,0,0,0
751,1765218843324,0,0,0,0,0,0,0,0
752,1765218843641,0,0,0,0,0,0,0,0
753,1765218844374,0,0,0,0,0,0,0,0
754,1765218844491,0,0,0,0,0,0,0,0
755,1765218844774,0,0,0,0,0,0,0,0
756,1765218845107,0,0,0,0,0,0,0,0
757,1765218845191,0,0,0,0,0,0,0,0
758,1765218845924,0,0,0,0,0,0,0,0
759,1765218846241,0,0,0,0,0,0,0,0
760,1765218846374,0,0,0,0,0,0,0,0
761,1765218846641,0,0,0,0,0,0,0,0
762,1765218847424,0,0,0,0,0,0,0,0
763,1765218847857,0,0,0,0,0,0,0,0
764,1765218848291,16388,0,0,0,0,0,0,0
765,1765218849041,0,0,0,0,0,0,0,0
766,1765218849339,0,0,0,0,0,0,0,0
767,1765218849807,0,0,0,0,0,0,0,0
768,1765218850724,0,0,0,0,0,0,0,0
769,1765218851023,0,0,0,0,0,0,0,0
770,1765218851456,0,0,0,0,0,0,0,0
771,1765218852207,0,0,0,0,0,0,0,0
772,1765218853941,0,0,0,0,0,0,0,0
773,1765218854425,8192,0,0,0,0,0,0,0
774,1765218854891,0,0,0,0,0,0,0,0
775,1765218855174,0,0,0,0,0,0,0,0
776,1765218855674,0,0,0,0,0,0,0,0
777,1765218856142,0,0,0,0,0,0,0,0
778,1765218856457,0,0,0,0,0,0,0,0
779,1765218856641,0,0,0,0,0,0,0,0
780,1765218857374,0,0,0,0,0,0,0,0
781,1765218857691,0,0,0,0,0,0,0,0
782,1765218857841,0,0,0,0,0,0,0,0
783,1765218858590,0,0,0,0,0,0,0,0
784,1765218858874,0,0,0,0,0,0,0,0
785,1765218858991,0,0,0,0,0,0,0,0
786,1765218859324,0,0,0,0,0,0,0,0
787,1765218859724,0,0,0,0,0,0,0,0
788,1765218860057,0,0,0,0,0,0,0,0
789,1765218860491,0,0,0,0,0,0,0,0
790,1765218860774,0,0,0,0,0,0,0,0
791,1765218860874,0,0,0,0,0,0,0,0
792,1765218861191,0,0,0,0,0,0,0,0
793,1765218861590,0,0,0,0,0,0,0,0
794,1765218861941,0,0,0,0,0,0,0,0
795,1765218862324,0,0,0,0,0,0,0,0
796,1765218862657,0,0,0,0,0,0,0,0
797,1765218862807,0,0,0,0,0,0,0,0
798,1765218863091,0,0,0,0,0,0,0,0
799,1765218863524,0,0,0,0,0,0,0,0
800,1765218863824,0,0,0,0,0,0,0,0
801,1765218863957,0,0,0,0,0,0,0,0
802,1765218864241,0,0,0,0,0,0,0,0
803,1765218864541,0,0,0,0,0,0,0,0
804,1765218864674,0,0,0,0,0,0,0,0
805,1765218864941,0,0,0,0,0,0,0,0
806,1765218865407,0,0,0,0,0,0,0,0
807,1765218865691,0,0,0,0,0,0,0,0
808,1765218865824,0,0,0,0,0,0,0,0
809,1765218866141,0,0,0,0,0,0,0,0
810,1765218866407,0,0,0,0,0,0,0,0
811,1765218866540,0,0,0,0,0,0,0,0
812,1765218866874,0,0,0,0,0,0,0,0
813,1765218867291,0,0,0,0,0,0,0,0
814,1765218867557,0,0,0,0,0,0,0,0
815,1765218868007,0,0,0,0,0,0,0,0
816,1765218868290,0,0,0,0,0,0,0,0
