index,date,ECU_MODE
369,1782580667685,1
370,1782580668617,1
371,1782580669633,1
372,1782580669849,1
373,1782580670116,1
374,1782580670498,1
375,1782580671182,1
376,1782580671565,1
377,1782580672697,1
378,1782580673097,1
379,1782580673730,1
380,1782580674196,1
381,1782580675329,1
382,1782580675778,1
383,1782580676411,1
384,1782580676845,1
385,1782580677360,1
386,1782580678009,1
387,1782580679108,1
388,1782580679658,1
389,1782580680025,1
390,1782580680674,1
391,1782580681440,1
392,1782580682639,1
393,1782580683738,1
394,1782580684138,1
395,1782580684587,1
396,1782580685303,1
397,1782580685737,1
398,1782580686619,1
399,1782580687468,1
400,1782580687918,1
401,1782580688851,1
402,1782580689167,1
403,1782580689716,1
404,1782580690100,1
405,1782580691049,1
406,1782580691764,1
407,1782580692015,1
408,1782580692980,1
409,1782580693930,1
410,1782580694546,1
411,1782580694962,1
412,1782580695944,1
413,1782580697493,1
414,1782580698543,1
415,1782580699125,1
416,1782580700174,1
417,1782580700824,1
418,1782580701423,1
419,1782580702089,1
420,1782580702838,1
421,1782580703521,1
422,1782580704487,1
423,1782580705520,1
424,1782580706385,1
425,1782580707467,1
426,1782580708050,1
427,1782580708483,1
428,1782580708966,1
429,1782580709649,1
430,1782580710731,1
431,1782580711265,1
432,1782580711731,1
433,1782580712996,1
434,1782580714279,1
435,1782580714645,1
436,1782580715195,1
437,1782580715778,1
438,1782580716477,1
439,1782580717809,1
440,1782580718425,1
441,1782580718725,1
442,1782580719691,1
443,1782580721173,1
444,1782580722305,1
445,1782580723871,1
446,1782580724936,1
447,1782580726485,1
448,1782580727218,1
449,1782580728150,1
450,1782580728783,1
451,1782580729266,1
452,1782580730266,1
453,1782580730781,1
454,1782580731847,1
455,1782580732430,1
456,1782580733446,1
457,1782580734079,1
458,1782580734512,1
459,1782580735677,1
460,1782580736111,1
461,1782580736743,1
462,1782580738392,1
463,1782580739008,1
464,1782580740624,1
465,1782580741090,1
466,1782580741989,1
467,1782580742372,1
468,1782580743221,1
469,1782580744254,1
470,1782580745753,1
471,1782580746186,1
472,1782580747134,1
473,1782580747601,1
474,1782580748034,1
475,1782580748634,1
476,1782580749067,1
477,1782580750249,1
478,1782580750698,1
479,1782580751297,1
480,1782580752863,1
481,1782580753296,1
482,1782580754529,1
483,1782580754795,1
484,1782580755811,1
485,1782580757742,1
486,1782580758725,1
487,1782580759208,1
488,1782580759424,1
489,1782580759690,1
490,1782580760723,1
491,1782580761406,1
492,1782580761672,1
493,1782580762272,1
494,1782580762939,1
495,1782580763388,1
496,1782580764004,1
497,1782580764919,1
498,1782580765602,1
499,1782580766286,1
500,1782580767335,1
501,1782580767950,1
502,1782580768616,1
503,1782580768932,1
504,1782580769516,1
505,1782580769949,1
506,1782580770548,1
507,1782580771314,1
508,1782580771530,1
509,1782580771764,1
510,1782580772713,1
511,1782580773197,1
512,1782580774994,1
513,1782580775378,1
514,1782580776044,1
515,1782580776293,1
516,1782580776526,1
517,1782580776959,1
518,1782580777559,1
519,1782580778008,1
520,1782580779507,1
521,1782580782821,1
522,1782580783821,1
523,1782580784453,1
524,1782580785502,1
525,1782580785935,1
526,1782580786102,1
527,1782580786469,1
528,1782580787034,1
529,1782580787467,1
530,1782580788100,1
531,1782580788350,1
532,1782580789066,1
533,1782580790125,1
534,1782580790731,1
535,1782580791798,1
536,1782580791997,1
537,1782580792463,1
538,1782580793996,1
539,1782580794362,1
540,1782580795010,1
541,1782580795893,1
542,1782580796812,1
543,1782580797293,1
544,1782580799424,1
545,1782580801205,1
546,1782580802537,1
547,1782580802870,1
548,1782580803088,1
549,1782580803537,1
550,1782580804236,1
551,1782580805136,1
552,1782580805735,1
553,1782580806184,1
554,1782580806817,1
555,1782580808399,1
556,1782580811114,1
