index,ACCEL_X,ACCEL_Y,ACCEL_Z,1,2,3,4,5
421,993,8098,-215,0,0,0,0,0
422,991,8085,-217,0,0,0,0,0
423,994,8091,-207,0,0,0,0,0
424,1001,8089,-245,0,0,0,0,0
425,989,8089,-218,0,0,0,0,0
426,994,8082,-204,0,0,0,0,0
427,996,8086,-236,0,0,0,0,0
428,1000,8088,-224,0,0,0,0,0
429,996,8094,-202,0,0,0,0,0
430,1002,8097,-204,0,0,0,0,0
431,988,8082,-210,0,0,0,0,0
432,1001,8093,-233,0,0,0,0,0
433,996,8103,-220,0,0,0,0,0
434,997,8095,-215,0,0,0,0,0
435,992,8103,-203,0,0,0,0,0
436,1000,8096,-220,0,0,0,0,0
437,989,8087,-234,0,0,0,0,0
438,997,8091,-238,0,0,0,0,0
439,990,8098,-207,0,0,0,0,0
440,1000,8086,-201,0,0,0,0,0
441,996,8085,-239,0,0,0,0,0
442,1005,8093,-230,0,0,0,0,0
443,993,8090,-210,0,0,0,0,0
444,1007,8090,-217,0,0,0,0,0
445,993,8098,-211,0,0,0,0,0
446,1000,8097,-198,0,0,0,0,0
447,999,8096,-206,0,0,0,0,0
448,997,8088,-242,0,0,0,0,0
449,998,8087,-215,0,0,0,0,0
450,1001,8083,-216,0,0,0,0,0
451,995,8082,-209,0,0,0,0,0
452,985,8092,-214,0,0,0,0,0
453,997,8096,-211,0,0,0,0,0
454,999,8098,-218,0,0,0,0,0
455,1004,8096,-224,0,0,0,0,0
456,988,8091,-212,0,0,0,0,0
457,992,8088,-217,0,0,0,0,0
458,996,8085,-216,0,0,0,0,0
459,995,8092,-226,0,0,0,0,0
460,991,8083,-212,0,0,0,0,0
461,999,8092,-222,0,0,0,0,0
462,996,8087,-214,0,0,0,0,0
463,1003,8092,-206,0,0,0,0,0
464,994,8085,-218,0,0,0,0,0
465,993,8088,-210,0,0,0,0,0
466,1002,8100,-202,0,0,0,0,0
467,981,8083,-228,0,0,0,0,0
468,1000,8082,-234,0,0,0,0,0
469,994,8090,-208,0,0,0,0,0
470,993,8080,-200,0,0,0,0,0
471,987,8092,-222,0,0,0,0,0
472,1002,8087,-230,0,0,0,0,0
473,999,8088,-214,0,0,0,0,0
474,996,8083,-215,0,0,0,0,0
475,999,8092,-224,0,0,0,0,0
476,1006,8091,-219,0,0,0,0,0
477,992,8088,-216,0,0,0,0,0
478,989,8088,-225,0,0,0,0,0
479,997,8090,-206,0,0,0,0,0
480,987,8084,-226,0,0,0,0,0
481,1000,8090,-218,0,0,0,0,0
482,1005,8096,-224,0,0,0,0,0
483,1002,8084,-210,0,0,0,0,0
484,992,8100,-218,0,0,0,0,0
485,998,8090,-222,0,0,0,0,0
486,1000,8081,-208,0,0,0,0,0
487,991,8092,-208,0,0,0,0,0
488,990,8085,-216,0,0,0,0,0
489,999,8080,-224,0,0,0,0,0
490,1003,8092,-220,0,0,0,0,0
491,996,8088,-217,0,0,0,0,0
492,988,8084,-224,0,0,0,0,0
493,992,8091,-218,0,0,0,0,0
494,993,8097,-222,0,0,0,0,0
495,991,8091,-208,0,0,0,0,0
496,1004,8094,-225,0,0,0,0,0
497,996,8090,-230,0,0,0,0,0
498,990,8082,-213,0,0,0,0,0
499,992,8097,-212,0,0,0,0,0
500,999,8086,-220,0,0,0,0,0
501,994,8084,-230,0,0,0,0,0
502,997,8100,-212,0,0,0,0,0
503,993,8092,-206,0,0,0,0,0
504,989,8089,-222,0,0,0,0,0
505,991,8092,-224,0,0,0,0,0
506,997,8094,-212,0,0,0,0,0
507,987,8089,-214,0,0,0,0,0
508,996,8092,-219,0,0,0,0,0
509,994,8094,-215,0,0,0,0,0
510,983,8087,-212,0,0,0,0,0
511,994,8095,-214,0,0,0,0,0
512,999,8094,-216,0,0,0,0,0
513,1001,8088,-228,0,0,0,0,0
514,990,8089,-211,0,0,0,0,0
515,990,8082,-215,0,0,0,0,0
516,1005,8086,-218,0,0,0,0,0
517,988,8093,-217,0,0,0,0,0
518,991,8085,-211,0,0,0,0,0
519,1006,8092,-218,0,0,0,0,0
520,993,8098,-206,0,0,0,0,0
521,988,8084,-222,0,0,0,0,0
522,998,8084,-220,0,0,0,0,0
523,1004,8100,-214,0,0,0,0,0
524,996,8094,-222,0,0,0,0,0
525,993,8090,-223,0,0,0,0,0
526,986,8088,-221,0,0,0,0,0
527,996,8092,-205,0,0,0,0,0
528,999,8091,-215,0,0,0,0,0
529,1003,8096,-219,0,0,0,0,0
530,996,8090,-212,0,0,0,0,0
531,997,8092,-218,0,0,0,0,0
532,995,8084,-223,0,0,0,0,0
533,986,8073,-236,0,0,0,0,0
534,994,8102,-212,0,0,0,0,0
535,1014,8108,-176,0,0,0,0,0
536,1011,8069,-191,0,0,0,0,0
537,991,8097,-265,0,0,0,0,0
538,994,8113,-225,0,0,0,0,0
539,996,8074,-187,0,0,0,0,0
540,1012,8073,-187,0,0,0,0,0
541,982,8098,-248,0,0,0,0,0
542,986,8094,-250,0,0,0,0,0
543,997,8078,-207,0,0,0,0,0
544,1004,8089,-196,0,0,0,0,0
545,1006,8084,-216,0,0,0,0,0
546,997,8092,-247,0,0,0,0,0
547,998,8081,-226,0,0,0,0,0
548,992,8092,-204,0,0,0,0,0
549,999,8094,-200,0,0,0,0,0
550,1006,8077,-220,0,0,0,0,0
551,998,8090,-230,0,0,0,0,0
552,979,8081,-215,0,0,0,0,0
553,999,8092,-202,0,0,0,0,0
554,996,8096,-216,0,0,0,0,0
555,996,8095,-229,0,0,0,0,0
556,994,8092,-212,0,0,0,0,0
557,996,8098,-218,0,0,0,0,0
558,997,8088,-207,0,0,0,0,0
559,1002,8089,-228,0,0,0,0,0
560,999,8092,-225,0,0,0,0,0
561,999,8090,-205,0,0,0,0,0
562,985,8086,-210,0,0,0,0,0
563,1028,8106,-232,0,0,0,0,0
564,994,8087,-239,0,0,0,0,0
565,963,8052,-224,0,0,0,0,0
566,990,8128,-194,0,0,0,0,0
567,1028,8119,-244,0,0,0,0,0
568,1050,8067,-201,0,0,0,0,0
569,956,8060,-226,0,0,0,0,0
570,970,8118,-241,0,0,0,0,0
571,1025,8072,-228,0,0,0,0,0
572,1029,8080,-244,0,0,0,0,0
573,952,8113,-256,0,0,0,0,0
574,983,8073,-200,0,0,0,0,0
575,1008,8108,-234,0,0,0,0,0
576,978,8078,-236,0,0,0,0,0
577,978,8082,-204,0,0,0,0,0
578,986,8096,-224,0,0,0,0,0
579,1020,8104,-211,0,0,0,0,0
580,981,8086,-212,0,0,0,0,0
581,997,8098,-212,0,0,0,0,0
582,1002,8092,-230,0,0,0,0,0
583,987,8091,-233,0,0,0,0,0
584,996,8080,-203,0,0,0,0,0
585,993,8093,-194,0,0,0,0,0
586,994,8086,-227,0,0,0,0,0
587,988,8102,-228,0,0,0,0,0
588,1000,8086,-221,0,0,0,0,0
589,992,8091,-214,0,0,0,0,0
590,987,8082,-201,0,0,0,0,0
591,996,8097,-232,0,0,0,0,0
592,996,8084,-227,0,0,0,0,0
593,992,8096,-215,0,0,0,0,0
594,996,8072,-221,0,0,0,0,0
595,994,8090,-233,0,0,0,0,0
596,993,8090,-206,0,0,0,0,0
597,982,8086,-200,0,0,0,0,0
598,1007,8085,-236,0,0,0,0,0
599,998,8092,-218,0,0,0,0,0
600,998,8091,-212,0,0,0,0,0
601,999,8096,-212,0,0,0,0,0
602,996,8068,-215,0,0,0,0,0
603,1001,8103,-227,0,0,0,0,0
604,978,8085,-242,0,0,0,0,0
605,1009,8094,-204,0,0,0,0,0
606,1006,8088,-225,0,0,0,0,0
607,975,8084,-214,0,0,0,0,0
608,980,8083,-220,0,0,0,0,0
609,1011,8096,-209,0,0,0,0,0
610,1015,8093,-220,0,0,0,0,0
611,972,8078,-214,0,0,0,0,0
612,998,8097,-210,0,0,0,0,0
613,1005,8092,-229,0,0,0,0,0
614,1002,8089,-225,0,0,0,0,0
615,980,8077,-206,0,0,0,0,0
616,1007,8089,-228,0,0,0,0,0
617,998,8080,-209,0,0,0,0,0
618,982,8090,-204,2,0,0,0,0
619,990,8100,-226,0,0,0,0,0
