index,date,GYRO_X,GYRO_Y,GYRO_Z,1,2,3,4,5
247,1764700997242,3,-10,-1,0,0,0,0,0
248,1764700997343,5,-9,0,0,0,0,0,0
249,1764700997525,5,-10,-2,0,0,0,0,0
250,1764700997626,7,-7,0,0,0,0,0,0
251,1764700997825,5,-11,-1,0,0,0,0,0
252,1764700997942,6,-8,-1,0,0,0,0,0
253,1764700998075,5,-9,1,0,0,0,0,0
254,1764700998175,7,-9,1,0,0,0,0,0
255,1764700998475,5,-9,-1,0,0,0,0,0
256,1764700998742,5,-8,-1,0,0,0,0,0
257,1764700998908,5,-8,0,0,0,0,0,0
258,1764700999042,6,-10,-2,0,0,0,0,0
259,1764700999309,5,-9,-1,0,0,0,0,0
260,1764700999492,5,-8,0,0,0,0,0,0
261,1764700999642,4,-9,0,0,0,0,0,0
262,1764700999792,6,-9,0,0,0,0,0,0
263,1764700999908,5,-8,-1,0,0,0,0,0
264,1764701000075,5,-8,-1,0,0,0,0,0
265,1764701000259,5,-10,0,0,0,0,0,0
266,1764701000575,5,-5,-1,0,0,0,0,0
267,1764701000808,4,-8,-1,0,0,0,0,0
268,1764701000892,5,-10,0,0,0,0,0,0
269,1764701001058,6,-16,-1,0,0,0,0,0
270,1764701001142,11,-12,1,0,0,0,0,0
271,1764701001409,9,-5,-2,0,0,0,0,0
272,1764701001475,3,-19,0,0,0,0,0,0
273,1764701001658,0,-21,-4,0,0,0,0,0
274,1764701001775,-20,-70,1,0,0,0,0,0
275,1764701001975,-55,29,-4,0,0,0,0,0
276,1764701002075,61,-69,-15,0,0,0,0,0
277,1764701002241,-38,-41,-2,0,0,0,0,0
278,1764701002525,-51,42,7,0,0,0,0,0
279,1764701002625,41,-18,-4,0,0,0,0,0
280,1764701002808,11,52,3,0,0,0,0,0
281,1764701002892,-26,-24,1,0,0,0,0,0
282,1764701003125,13,42,4,0,0,0,0,0
283,1764701003192,-8,-41,-9,0,0,0,0,0
284,1764701003359,13,-48,-5,0,0,0,0,0
285,1764701003476,-25,39,7,0,0,0,0,0
286,1764701003692,26,29,1,0,0,0,0,0
287,1764701003792,6,-34,-3,0,0,0,0,0
288,1764701003942,36,-34,-7,0,0,0,0,0
289,1764701004042,-28,31,9,0,0,0,0,0
290,1764701004258,4,10,3,0,0,0,0,0
291,1764701004442,-60,3,6,0,0,0,0,0
292,1764701004625,54,-56,-7,0,0,0,0,0
293,1764701004708,-12,10,8,0,0,0,0,0
294,1764701004925,47,-41,-5,0,0,0,0,0
295,1764701005008,44,-68,-8,0,0,0,0,0
296,1764701005191,-40,4,6,0,0,0,0,0
297,1764701005275,-16,-3,1,0,0,0,0,0
298,1764701005541,-30,23,-248,0,0,0,0,0
299,1764701005608,-28,19,2,0,0,0,0,0
300,1764701005725,-33,-28,2,0,0,0,0,0
301,1764701005825,-33,-16,4,0,0,0,0,0
302,1764701006008,35,-32,-4,0,0,0,0,0
303,1764701006142,33,-58,-8,0,0,0,0,0
304,1764701006391,8,57,5,0,0,0,0,0
305,1764701006624,-21,-23,1,0,0,0,0,0
306,1764701006775,3,-29,-2,0,0,0,0,0
307,1764701006841,247,-21,5,0,0,0,0,0
308,1764701007024,-4,-14,0,0,0,0,0,0
309,1764701007143,1,-8,1,0,0,0,0,0
310,1764701007345,-2,19,-2,0,0,0,0,0
311,1764701007559,11,-5,-254,0,0,0,0,0
312,1764701007675,2,-3,2,0,0,0,0,0
313,1764701007876,8,-11,1,0,0,0,0,0
314,1764701007975,4,-4,-2,0,0,0,0,0
