index,date,INV_STATE_R_MOTOR,FAILURE_R_MOTOR,ALARM_R_MOTOR
659,1782590391564,0,0,110
660,1782590392196,0,0,110
661,1782590393795,0,0,110
662,1782590394228,0,0,110
663,1782590395261,0,0,110
664,1782590395810,0,0,110
665,1782590398659,0,0,110
666,1782590399707,0,0,110
667,1782590400706,0,0,110
668,1782590401622,0,0,110
669,1782590402571,0,0,110
670,1782590403904,0,0,110
671,1782590404903,0,0,110
672,1782590405452,0,0,110
673,1782590405769,0,0,110
674,1782590406735,0,0,110
675,1782590408649,0,0,110
676,1782590409632,0,0,110
677,1782590410265,0,0,110
678,1782590410631,0,0,110
679,1782590411164,0,0,110
680,1782590412196,0,0,110
681,1782590412479,0,0,110
682,1782590413212,0,0,110
683,1782590413795,0,0,110
684,1782590415810,0,0,110
685,1782590418408,0,0,0
686,1782590419124,0,0,0
687,1782590420890,0,0,0
688,1782590421305,0,0,0
689,1782590422089,0,0,0
690,1782590422388,0,0,0
691,1782590422805,0,0,0
692,1782590423088,0,0,0
693,1782590423420,0,0,0
694,1782590423786,0,0,0
695,1782590424003,0,0,0
696,1782590424236,0,0,0
697,1782590424553,0,0,0
698,1782590426051,0,0,0
699,1782590427817,0,0,0
700,1782590428100,0,0,0
701,1782590428516,0,0,0
702,1782590428682,0,0,0
703,1782590430164,0,0,110
704,1782590430531,0,0,110
705,1782590430864,0,0,110
706,1782590431213,0,0,110
707,1782590431313,0,0,110
708,1782590431880,0,0,110
709,1782590432014,0,0,110
710,1782590432380,0,0,110
711,1782590432629,0,0,110
712,1782590433862,0,0,110
713,1782590435876,0,0,110
714,1782590437608,0,0,110
715,1782590438264,0,0,110
716,1782590438264,0,0,110
717,1782590438491,0,0,110
718,1782590439458,0,0,110
719,1782590439757,0,0,110
720,1782590440107,0,0,110
721,1782590441122,0,0,110
722,1782590441438,0,0,110
723,1782590441705,0,0,110
724,1782590442022,0,0,110
725,1782590442321,0,0,110
726,1782590442937,0,0,110
727,1782590443321,0,0,110
728,1782590443421,0,0,110
729,1782590444336,0,0,110
730,1782590444669,0,0,110
731,1782590445052,0,0,110
732,1782590445951,0,0,110
733,1782590446434,0,0,110
734,1782590446767,0,0,110
735,1782590447117,0,0,110
736,1782590450298,0,0,110
737,1782590450614,0,0,110
738,1782590451430,0,0,110
739,1782590452346,0,0,110
740,1782590452679,0,0,110
741,1782590453045,0,0,110
742,1782590453212,0,0,110
743,1782590453912,0,0,110
744,1782590453912,0,0,110
745,1782590454894,0,0,0
746,1782590455694,0,0,0
747,1782590455794,0,0,0
748,1782590456609,0,0,0
749,1782590457392,0,0,0
750,1782590463453,0,0,110
751,1782590463703,0,0,110
752,1782590465768,0,0,110
753,1782590466051,0,0,110
754,1782590467201,0,0,110
755,1782590467517,0,0,110
756,1782590468649,0,0,110
757,1782590469281,0,0,110
758,1782590469615,0,0,110
759,1782590470014,0,0,110
760,1782590470314,0,0,110
761,1782590470431,0,0,110
762,1782590470714,0,0,110
763,1782590471114,0,0,110
764,1782590471480,0,0,110
765,1782590471746,0,0,110
766,1782590474911,1,0,110
767,1782590475177,1,0,110
768,1782590475360,1,0,110
769,1782590475843,1,0,110
770,1782590476659,1,0,110
771,1782590477441,1,0,110
772,1782590477991,1,0,110
773,1782590479423,1,0,110
774,1782590480323,1,0,110
775,1782590480905,1,0,110
776,1782590481371,1,0,110
777,1782590482004,1,0,110
778,1782590482438,1,0,110
779,1782590482537,1,0,110
780,1782590483603,1,0,110
781,1782590484602,1,0,110
782,1782590485784,1,0,110
783,1782590487633,1,0,110
784,1782590487650,1,0,110
785,1782590488034,1,0,110
786,1782590488399,1,0,110
787,1782590488932,1,0,110
788,1782590489331,1,0,110
789,1782590489715,1,0,110
790,1782590490264,1,0,110
791,1782590490897,1,0,110
792,1782590491896,1,0,110
793,1782590492462,1,0,110
794,1782590493578,1,0,110
795,1782590494211,1,0,110
796,1782590495110,1,0,0
797,1782590496275,1,0,0
798,1782590497408,1,0,110
799,1782590498690,1,0,110
800,1782590500489,1,0,0
801,1782590501421,1,0,110
802,1782590501721,1,0,110
803,1782590502371,1,0,110
804,1782590503021,1,0,110
805,1782590504003,1,0,110
806,1782590504935,1,0,110
807,1782590507233,1,0,110
808,1782590507899,1,0,110
809,1782590508365,1,0,110
810,1782590511180,1,0,110
811,1782590512013,1,0,110
812,1782590512478,1,0,110
813,1782590514127,1,0,110
814,1782590515360,1,0,110
815,1782590516126,1,0,110
816,1782590517857,1,0,110
817,1782590518540,1,0,110
818,1782590519023,1,0,110
819,1782590520762,1,0,110
820,1782590520871,1,0,110
821,1782590521138,1,0,110
822,1782590521354,1,0,110
823,1782590522420,1,0,110
824,1782590523470,1,0,110
825,1782590524102,1,0,110
826,1782590524818,1,0,110
827,1782590525518,1,0,110
828,1782590526783,1,0,110
