index,date,ENERGY_R_MOTOR,OVERLOAD_R_MOTOR,TEMPERATURE1_R,TEMPERATURE2_R
476,1782590234363,0,0,379,0
477,1782590234813,0,0,379,0
478,1782590235778,0,0,379,0
479,1782590237593,0,0,379,0
480,1782590237959,0,0,379,0
481,1782590240940,0,0,379,0
482,1782590242556,0,0,379,0
483,1782590243172,0,0,379,0
484,1782590244737,0,0,379,0
485,1782590245171,0,0,379,0
486,1782590247035,0,0,379,0
487,1782590248085,0,0,379,0
488,1782590249683,0,0,379,0
489,1782590250333,0,0,379,0
490,1782590251615,0,0,379,0
491,1782590251965,0,0,379,0
492,1782590253064,0,0,379,0
493,1782590253680,0,0,379,0
494,1782590254629,0,0,379,0
495,1782590255228,0,0,379,0
496,1782590255661,0,12288,379,0
497,1782590255811,0,0,379,0
498,1782590256144,0,0,379,0
499,1782590257227,0,0,379,0
500,1782590259158,0,0,379,0
501,1782590259758,0,0,379,0
502,1782590261723,0,0,379,0
503,1782590262689,0,0,379,0
504,1782590263855,0,0,380,0
505,1782590264239,0,0,380,0
506,1782590267168,0,0,382,0
507,1782590268733,0,0,383,0
508,1782590269716,0,0,383,0
509,1782590270149,0,0,383,0
510,1782590270382,0,0,383,0
511,1782590270615,0,0,383,0
512,1782590271631,0,0,383,0
513,1782590272597,0,0,383,0
514,1782590273630,0,0,383,0
515,1782590274229,0,0,383,0
516,1782590274612,0,0,383,0
517,1782590275345,0,0,383,0
518,1782590275478,0,18690,16386,0
519,1782590275528,0,0,383,0
520,1782590276144,0,0,383,0
521,1782590276594,0,0,383,0
522,1782590277210,0,0,383,0
523,1782590277659,0,0,383,0
524,1782590277743,0,0,383,0
525,1782590278792,0,0,383,0
526,1782590279891,0,0,383,0
527,1782590280057,0,0,383,0
528,1782590280374,0,0,383,0
529,1782590280824,0,0,383,0
530,1782590281406,0,0,383,0
531,1782590281839,0,0,383,0
532,1782590283721,0,0,383,0
533,1782590284937,0,0,383,0
534,1782590285286,0,0,383,0
535,1782590286285,0,0,383,0
536,1782590286669,0,0,383,0
537,1782590288101,0,0,383,0
538,1782590288517,0,0,383,0
539,1782590289483,0,0,383,0
540,1782590290366,0,0,383,0
541,1782590291714,0,0,383,0
542,1782590292347,0,0,383,0
543,1782590293280,0,0,383,0
544,1782590294013,0,0,383,0
545,1782590294428,0,0,383,0
546,1782590294678,0,0,383,0
547,1782590294962,0,0,383,0
548,1782590295678,0,0,383,0
549,1782590295944,0,0,383,0
550,1782590298492,0,0,383,0
551,1782590302755,0,0,0,0
552,1782590303488,0,0,0,0
553,1782590304220,0,0,0,0
554,1782590304837,0,0,0,0
555,1782590304886,0,0,0,0
556,1782590305520,0,0,0,0
557,1782590305620,0,0,0,0
558,1782590306785,0,0,0,0
