index,date,MODE_ID,TORQUE_GAIN_ID,ODOM_DISTANCE_P,ODOM_DISTANCE_T,1,2,3,4
464,1765224167769,1,10,0,0,0,0,0,0
465,1765224167935,1,10,0,0,0,0,0,0
466,1765224168270,1,10,0,0,0,0,0,0
467,1765224168436,1,10,0,0,0,0,0,0
468,1765224168720,1,10,0,0,0,0,0,0
469,1765224169470,1,10,0,0,0,0,0,0
470,1765224169887,1,10,0,0,0,0,0,0
471,1765224170336,1,10,0,0,0,0,0,0
472,1765224170619,1,10,0,0,0,0,0,0
473,1765224171068,1,10,0,0,0,0,0,0
474,1765224171353,1,10,0,0,0,0,0,0
475,1765224171802,1,10,0,0,0,0,0,0
476,1765224172218,1,10,0,0,0,0,0,0
477,1765224172936,1,10,0,0,0,0,0,0
478,1765224173219,1,10,0,0,0,0,0,0
479,1765224173670,1,10,0,0,0,0,0,0
480,1765224174086,1,10,0,0,0,0,0,0
481,1765224174403,1,10,0,0,0,0,0,0
482,1765224174837,1,10,0,0,0,0,0,0
483,1765224175153,1,10,0,0,0,0,0,0
484,1765224175286,1,10,0,0,0,0,0,0
485,1765224175569,1,10,0,0,0,0,0,0
486,1765224175954,1,10,0,0,0,0,0,0
487,1765224176269,1,10,0,0,0,0,0,0
488,1765224176669,1,10,0,0,0,0,0,0
489,1765224177019,1,10,0,0,0,0,0,0
490,1765224177136,1,10,0,0,0,0,0,0
491,1765224177420,1,10,0,0,0,0,0,0
492,1765224177868,1,10,0,0,0,0,0,0
493,1765224178152,1,10,0,0,0,0,0,0
494,1765224178620,1,10,0,0,0,0,0,0
495,1765224178902,1,10,0,0,0,0,0,0
496,1765224179002,1,10,0,0,0,0,0,0
497,1765224179286,1,10,0,0,0,0,0,0
498,1765224179719,1,10,0,0,0,0,0,0
499,1765224180002,1,10,0,0,0,0,0,0
500,1765224180453,1,10,0,0,0,0,0,0
501,1765224180720,1,10,0,0,0,0,0,0
502,1765224180852,1,10,0,0,0,0,0,0
503,1765224181186,1,10,0,0,0,0,0,0
504,1765224181570,1,10,0,0,0,0,0,0
505,1765224181903,1,10,0,0,0,0,0,0
506,1765224182302,1,10,0,0,0,0,0,0
507,1765224182587,1,10,0,0,0,0,0,0
508,1765224182719,1,10,0,0,0,0,0,0
509,1765224183018,1,10,0,0,0,0,0,0
510,1765224183436,1,10,0,0,0,0,0,0
511,1765224183769,1,10,0,0,0,0,0,0
512,1765224184153,1,10,0,0,0,0,0,0
513,1765224184470,1,10,0,0,0,0,0,0
514,1765224184602,1,10,0,0,0,0,0,0
515,1765224184886,1,10,0,0,0,0,0,0
516,1765224185286,1,10,0,0,0,0,0,0
517,1765224185619,1,10,0,0,0,0,0,0
518,1765224186019,1,10,15,0,0,0,0,0
519,1765224186334,1,10,21,0,0,0,0,0
520,1765224186451,1,10,32,0,0,0,0,0
521,1765224186736,1,10,39,0,0,0,0,0
522,1765224187069,1,10,41,0,0,0,0,0
523,1765224187202,1,10,47,0,0,0,0,0
524,1765224187469,1,10,47,0,0,0,0,0
525,1765224187902,1,10,49,0,0,0,0,0
526,1765224188186,1,10,49,0,0,0,0,0
527,1765224188603,1,10,54,0,0,0,0,0
528,1765224189036,1,10,62,0,0,0,0,0
529,1765224189319,1,10,64,0,0,0,0,0
530,1765224189736,1,10,73,0,0,0,0,0
531,1765224190019,1,10,75,0,0,0,0,0
532,1765224190486,1,10,88,0,0,0,0,0
533,1765224190753,1,10,91,0,0,0,0,0
534,1765224190886,1,10,101,0,0,0,0,0
535,1765224191203,1,10,107,0,0,0,0,0
536,1765224191602,1,10,122,0,0,0,0,0
537,1765224191886,1,10,125,0,0,0,0,0
538,1765224192352,1,10,145,0,0,0,0,0
539,1765224192636,1,10,148,0,0,0,0,0
540,1765224192736,1,10,162,0,0,0,0,0
541,1765224193052,1,10,166,0,0,0,0,0
542,1765224193453,1,10,189,0,0,0,0,0
543,1765224193786,1,10,193,0,0,0,0,0
544,1765224194202,1,10,215,0,0,0,0,0
545,1765224194506,1,10,219,0,0,0,0,0
546,1765224194617,1,10,242,0,0,0,0,0
547,1765224194902,1,10,247,0,0,0,0,0
