index,date,ERROR_SUM_S4,ERROR_SUM_S5,ERROR_SUM_S6
2754,1782669697992,0,0,0
2755,1782669698143,0,0,0
2756,1782669698741,0,0,0
2757,1782669699208,0,0,0
2758,1782669701041,0,0,0
2759,1782669701158,0,0,0
2760,1782669701458,0,0,0
2761,1782669702859,0,0,0
2762,1782669703875,0,0,0
2763,1782669704707,0,0,0
2764,1782669705342,0,0,0
2765,1782669705959,0,0,0
2766,1782669707593,0,0,0
2767,1782669708925,0,0,0
2768,1782669709741,0,0,0
2769,1782669710025,0,0,0
2770,1782669710525,0,0,0
2771,1782669711591,0,0,0
2772,1782669712842,0,0,0
2773,1782669714909,0,0,0
2774,1782669715558,0,0,0
2775,1782669716176,0,0,0
2776,1782669717774,0,0,0
2777,1782669718024,0,0,0
2778,1782669718592,0,0,0
2779,1782669719692,0,0,0
2780,1782669720009,0,0,0
2781,1782669720542,0,0,0
2782,1782669721008,0,0,0
2783,1782669721474,0,0,0
2784,1782669722808,0,0,0
2785,1782669723308,0,0,0
2786,1782669724343,0,0,0
2787,1782669724843,0,0,0
2788,1782669727542,0,12288,0
2789,1782669728509,0,0,0
2790,1782669729542,0,0,0
2791,1782669729575,0,0,0
2792,1782669730027,0,0,0
2793,1782669730209,0,0,0
2794,1782669730860,0,0,0
2795,1782669731692,0,0,0
2796,1782669732293,0,0,0
2797,1782669733142,0,0,0
2798,1782669733975,0,0,0
2799,1782669734225,0,0,0
2800,1782669734458,0,0,0
2801,1782669737460,0,0,0
2802,1782669737792,0,0,0
2803,1782669738075,0,0,0
2804,1782669739659,0,0,0
2805,1782669740108,0,0,0
2806,1782669741791,0,0,0
2807,1782669742308,0,0,0
2808,1782669742442,0,0,0
2809,1782669743059,0,0,0
2810,1782669744541,0,0,0
2811,1782669744676,0,0,0
2812,1782669745125,0,0,0
2813,1782669745658,0,0,0
2814,1782669747775,0,0,0
2815,1782669748459,0,0,0
2816,1782669752709,0,0,0
2817,1782669753026,0,0,0
2818,1782669753275,0,0,0
2819,1782669756343,0,0,0
2820,1782669756658,0,0,0
2821,1782669756908,0,0,0
2822,1782669757492,0,0,0
2823,1782669757743,0,0,0
2824,1782669757976,0,0,0
2825,1782669758243,0,0,0
2826,1782669758726,0,0,0
2827,1782669760277,0,0,0
2828,1782669760477,0,0,0
2829,1782669762208,0,0,0
2830,1782669762742,0,0,0
2831,1782669763025,0,0,0
2832,1782669763742,0,0,0
2833,1782669764092,0,0,0
2834,1782669764592,0,0,0
2835,1782669764710,0,0,0
2836,1782669766659,0,0,0
2837,1782669767309,0,0,0
2838,1782669767492,0,0,0
2839,1782669768742,0,0,0
2840,1782669769075,0,0,0
2841,1782669769376,0,0,0
2842,1782669769877,0,0,0
2843,1782669770410,0,0,0
2844,1782669771244,0,0,0
2845,1782669771825,0,0,0
2846,1782669772210,0,0,0
2847,1782669772742,0,0,0
2848,1782669773709,0,0,0
2849,1782669774126,0,0,0
2850,1782669775059,0,0,0
2851,1782669775976,0,0,0
2852,1782669776459,0,0,0
2853,1782669776942,0,0,0
2854,1782669777412,0,0,0
2855,1782669778276,0,0,0
2856,1782669778825,0,0,0
2857,1782669779326,0,0,0
2858,1782669779876,0,0,0
2859,1782669780760,0,0,0
2860,1782669781309,0,0,0
2861,1782669781860,0,0,0
2862,1782669782509,0,0,0
2863,1782669782993,0,0,0
2864,1782669784093,0,0,0
2865,1782669784509,0,0,0
2866,1782669785744,0,0,0
2867,1782669786192,0,0,0
2868,1782669786792,0,0,0
2869,1782669787159,0,0,0
2870,1782669788293,0,0,0
2871,1782669788759,0,0,0
2872,1782669790327,0,0,0
2873,1782669790944,0,0,0
2874,1782669792076,0,0,0
2875,1782669792992,0,0,0
2876,1782669793676,0,0,0
2877,1782669794109,0,0,0
2878,1782669794709,0,0,0
2879,1782669795259,0,0,0
2880,1782669795759,0,0,0
2881,1782669795809,0,0,0
2882,1782669796810,0,0,0
2883,1782669796876,0,0,0
2884,1782669797742,0,0,0
2885,1782669798845,0,0,0
2886,1782669800142,0,0,0
2887,1782669800642,0,0,0
2888,1782669801543,0,0,0
2889,1782669802526,0,0,0
2890,1782669802943,0,0,0
2891,1782669803492,0,0,0
2892,1782669804059,0,0,0
2893,1782669804093,0,0,0
2894,1782669805026,0,0,0
2895,1782669805994,0,0,0
2896,1782669806477,0,0,0
2897,1782669806493,0,0,0
2898,1782669807576,0,0,0
2899,1782669808059,0,0,0
2900,1782669808594,0,0,0
2901,1782669809143,0,0,0
2902,1782669809643,0,0,0
2903,1782669810143,0,0,0
2904,1782669811159,0,0,0
2905,1782669812694,0,0,0
2906,1782669813210,0,0,0
2907,1782669815226,0,0,0
2908,1782669815676,0,0,0
2909,1782669816276,0,0,0
2910,1782669817226,0,0,0
2911,1782669817894,0,0,0
2912,1782669818326,0,0,0
2913,1782669818976,0,0,0
2914,1782669819912,0,0,0
2915,1782669820959,0,0,0
2916,1782669822460,0,0,0
2917,1782669823077,0,0,0
2918,1782669823543,0,0,0
2919,1782669824043,0,0,0
2920,1782669824626,0,0,0
2921,1782669826693,0,0,0
2922,1782669827243,0,0,0
2923,1782669827894,0,0,0
2924,1782669828459,0,0,0
2925,1782669829409,0,0,0
2926,1782669829877,0,0,0
2927,1782669830710,0,0,0
2928,1782669831594,0,0,0
2929,1782669832077,0,0,0
2930,1782669832977,0,0,0
2931,1782669833077,0,0,0
2932,1782669834494,0,0,0
2933,1782669835077,0,0,0
2934,1782669835693,0,0,0
2935,1782669836710,0,0,0
2936,1782669837310,0,0,0
2937,1782669837793,0,0,0
2938,1782669838911,0,0,0
2939,1782669839960,0,0,0
2940,1782669840411,0,0,0
2941,1782669841527,0,0,0
2942,1782669842010,0,0,0
2943,1782669842594,0,0,0
2944,1782669844110,0,0,0
2945,1782669844644,0,0,0
2946,1782669845243,0,0,0
2947,1782669846243,0,0,0
2948,1782669846744,0,0,0
2949,1782669847827,0,0,0
2950,1782669848377,0,0,0
2951,1782669848960,0,0,0
2952,1782669849494,0,0,0
2953,1782669849994,0,0,0
2954,1782669850927,0,0,0
2955,1782669851360,0,0,0
2956,1782669851962,0,0,0
2957,1782669852427,0,0,0
2958,1782669853527,0,0,0
2959,1782669853995,0,0,0
2960,1782669854845,0,0,0
2961,1782669855878,0,0,0
2962,1782669856894,0,0,0
2963,1782669858177,0,0,0
2964,1782669859127,0,0,0
2965,1782669859995,0,0,0
2966,1782669860960,0,0,0
2967,1782669861927,0,0,0
2968,1782669861962,0,0,0
2969,1782669863044,0,0,0
2970,1782669863494,0,0,0
2971,1782669864077,0,0,0
2972,1782669866144,0,0,0
2973,1782669866211,0,0,0
2974,1782669868244,0,0,0
2975,1782669868644,0,0,0
2976,1782669870260,0,0,0
2977,1782669871327,0,0,0
2978,1782669873962,0,0,0
2979,1782669875429,0,0,0
2980,1782669876094,0,0,0
2981,1782669876527,0,0,0
2982,1782669877644,0,0,0
2983,1782669878077,0,0,0
2984,1782669878661,0,0,0
2985,1782669879144,0,0,0
2986,1782669880143,0,0,0
2987,1782669880711,0,0,0
2988,1782669881277,0,0,0
2989,1782669882261,0,0,0
2990,1782669882660,0,0,0
2991,1782669883128,0,0,0
2992,1782669883595,0,0,0
2993,1782669884077,0,0,0
2994,1782669884561,0,0,0
2995,1782669885094,0,0,0
2996,1782669886112,0,0,0
2997,1782669886560,0,0,0
2998,1782669887412,0,0,0
2999,1782669887744,0,0,0
3000,1782669888327,0,0,0
3001,1782669889828,0,0,0
3002,1782669889860,0,0,0
3003,1782669890310,0,0,0
3004,1782669890928,0,0,0
3005,1782669891994,0,0,0
3006,1782669892577,0,0,0
3007,1782669893612,0,0,0
3008,1782669894528,0,0,0
3009,1782669895162,0,0,0
3010,1782669895644,0,0,0
3011,1782669896244,0,0,0
3012,1782669896777,0,0,0
3013,1782669897245,0,0,0
3014,1782669897861,0,0,0
3015,1782669898278,0,0,0
3016,1782669899344,0,0,0
3017,1782669900444,0,0,0
3018,1782669900895,0,0,0
3019,1782669902328,0,0,0
3020,1782669902829,0,0,0
3021,1782669903361,0,0,0
3022,1782669903878,0,0,0
3023,1782669904845,0,0,0
3024,1782669904896,0,0,0
3025,1782669905428,0,0,0
3026,1782669906444,0,0,0
3027,1782669906994,0,0,0
3028,1782669907528,0,0,0
3029,1782669908044,0,0,0
3030,1782669909046,0,0,0
3031,1782669910046,0,0,0
3032,1782669910113,0,0,0
3033,1782669912044,0,0,0
3034,1782669912511,0,0,0
3035,1782669912927,0,0,0
3036,1782669914328,0,0,0
3037,1782669914711,0,0,0
3038,1782669916228,0,0,0
3039,1782669916895,0,0,0
