index,date,LOST_MSG_R_MOTOR,BUS_OFF_R_MOTOR,CAN_STATE_R_MOTOR
408,1782582657394,0,0,2
409,1782582657827,0,0,2
410,1782582658476,0,0,2
411,1782582660091,0,0,2
412,1782582661157,0,0,2
413,1782582661756,0,0,2
414,1782582662057,0,0,2
415,1782582662656,0,0,2
416,1782582663755,0,0,2
417,1782582664021,0,0,2
418,1782582664287,0,0,2
419,1782582665354,0,0,2
420,1782582665987,0,0,2
421,1782582666320,0,0,2
422,1782582666952,0,0,2
423,1782582667969,0,0,2
424,1782582669534,0,0,2
425,1782582670650,0,0,2
426,1782582671498,0,0,2
427,1782582672181,0,0,2
428,1782582673247,0,0,2
429,1782582673830,0,0,2
430,1782582674163,0,0,2
431,1782582674746,0,0,2
432,1782582675113,0,0,2
433,1782582675495,0,0,2
434,1782582676295,0,0,2
435,1782582677295,0,0,2
436,1782582678276,0,0,2
437,1782582679176,0,0,2
438,1782582680141,0,0,2
439,1782582680591,0,0,2
440,1782582681057,0,0,2
441,1782582681740,0,0,2
442,1782582682189,0,0,2
443,1782582682807,0,0,2
444,1782582683273,0,0,2
445,1782582683438,0,0,2
446,1782582683755,0,0,2
447,1782582684371,0,0,2
448,1782582684821,0,0,2
449,1782582685437,0,0,2
450,1782582685687,0,0,2
451,1782582686353,0,0,2
452,1782582687735,0,0,2
453,1782582688085,0,0,2
454,1782582688701,0,0,2
455,1782582689700,0,0,2
456,1782582690365,0,0,2
457,1782582692264,0,0,0
458,1782582693097,0,0,0
459,1782582693929,0,0,0
460,1782582694812,0,0,0
461,1782582699975,0,0,2
462,1782582700291,0,0,2
463,1782582701140,0,0,2
464,1782582701473,0,0,2
465,1782582701823,0,0,2
466,1782582702106,0,0,2
467,1782582702424,0,0,2
468,1782582702756,0,0,2
469,1782582702888,0,0,2
470,1782582703238,0,0,2
471,1782582703589,0,0,2
472,1782582703938,0,0,2
473,1782582707169,0,0,2
474,1782582707518,0,0,2
475,1782582707802,0,0,2
476,1782582708318,0,0,2
477,1782582708884,0,0,2
478,1782582709268,0,0,2
479,1782582709500,0,0,2
480,1782582709833,0,0,2
481,1782582710100,0,0,2
482,1782582717393,0,0,2
483,1782582718225,0,0,2
484,1782582718892,0,0,2
485,1782582719259,0,0,2
486,1782582720192,0,0,2
487,1782582720357,0,0,2
488,1782582720708,0,0,2
489,1782582721040,0,0,2
490,1782582721607,0,0,2
491,1782582722039,0,0,2
492,1782582722640,0,0,2
493,1782582723604,0,0,2
494,1782582724571,0,0,2
495,1782582724937,0,0,2
496,1782582725087,0,0,2
497,1782582726169,0,0,2
498,1782582727186,0,0,2
499,1782582727784,0,0,2
500,1782582728800,0,0,2
501,1782582730350,0,0,2
502,1782582731481,0,0,2
503,1782582733097,0,0,2
504,1782582734146,0,0,2
505,1782582734746,0,0,2
506,1782582735046,0,0,2
507,1782582735661,0,0,2
508,1782582737760,0,0,0
509,1782582738575,0,0,0
510,1782582739425,0,0,0
511,1782582740157,0,0,0
512,1782582740307,0,0,0
513,1782582741156,0,0,0
514,1782582741455,0,0,0
515,1782582746652,0,0,0
516,1782582747001,0,0,0
517,1782582747401,0,0,2
518,1782582747718,0,0,2
519,1782582748533,0,0,2
520,1782582748916,0,0,2
521,1782582749183,0,0,2
522,1782582751781,0,0,2
523,1782582752030,0,0,2
524,1782582752646,0,0,2
525,1782582752896,0,0,2
526,1782582758459,0,0,0
527,1782582759291,0,0,0
528,1782582760124,0,0,0
529,1782582761023,0,0,0
530,1782582765952,0,0,2
531,1782582766202,0,0,2
532,1782582767385,0,0,2
533,1782582767668,0,0,2
534,1782582768017,0,0,2
535,1782582768317,0,0,2
536,1782582768634,0,0,2
537,1782582769000,0,0,2
538,1782582769133,0,0,2
539,1782582769416,0,0,2
540,1782582769782,0,0,2
541,1782582773014,0,0,2
542,1782582773397,0,0,2
543,1782582773730,0,0,2
544,1782582773929,0,0,2
545,1782582774229,0,0,2
546,1782582774545,0,0,2
547,1782582774862,0,0,2
548,1782582775146,0,0,2
549,1782582775412,0,0,2
550,1782582775694,0,0,2
551,1782582775960,0,0,2
552,1782582778975,0,0,2
553,1782582779142,0,0,2
554,1782582779424,0,0,2
555,1782582779791,0,0,2
556,1782582781439,0,0,2
557,1782582783271,0,0,2
558,1782582784120,0,0,2
559,1782582785236,0,0,2
560,1782582786901,0,0,2
561,1782582787518,0,0,2
562,1782582789532,0,0,2
563,1782582790132,0,0,2
564,1782582791131,0,0,2
565,1782582791714,0,0,2
566,1782582792880,0,0,2
567,1782582793445,0,0,2
568,1782582794396,0,0,2
569,1782582795477,0,0,2
570,1782582795644,0,0,2
571,1782582796376,0,0,2
572,1782582797126,0,0,2
573,1782582797809,0,0,2
574,1782582798159,0,0,2
575,1782582798342,0,0,2
576,1782582798774,0,0,2
577,1782582799325,0,0,2
578,1782582801356,0,0,2
579,1782582802355,0,0,2
580,1782582803154,0,0,2
581,1782582804187,0,0,2
582,1782582804586,0,0,2
583,1782582808950,0,0,2
584,1782582809399,0,0,2
585,1782582810898,0,0,2
586,1782582812696,0,0,2
587,1782582813196,0,0,2
588,1782582813879,0,0,2
589,1782582814495,0,0,2
590,1782582814945,0,0,2
591,1782582815112,0,0,2
592,1782582815444,0,0,2
593,1782582816509,0,0,2
594,1782582819025,0,0,2
595,1782582820624,0,0,2
596,1782582822971,0,0,2
597,1782582823404,0,0,2
598,1782582824036,0,0,2
599,1782582824836,0,0,2
600,1782582824920,0,0,2
601,1782582825918,0,0,2
602,1782582826368,0,0,2
603,1782582826901,0,0,2
604,1782582827917,0,0,2
605,1782582828933,0,0,2
606,1782582830515,0,0,2
607,1782582831547,0,0,2
608,1782582831914,0,0,2
609,1782582832297,0,0,2
610,1782582833696,0,0,2
611,1782582834578,0,0,2
612,1782582834878,0,0,2
613,1782582836227,0,0,2
614,1782582837742,0,0,2
615,1782582838141,0,0,2
616,1782582838774,0,0,2
617,1782582839324,0,0,2
618,1782582839740,0,0,2
619,1782582840356,0,0,2
620,1782582841438,0,0,2
621,1782582841722,0,0,2
622,1782582841989,0,0,2
623,1782582843122,0,0,2
624,1782582843736,0,0,2
625,1782582844087,0,0,2
626,1782582844636,0,0,2
627,1782582845702,0,0,2
628,1782582847333,0,0,2
629,1782582847951,0,0,2
630,1782582849234,0,0,2
631,1782582849948,0,0,2
632,1782582850681,0,0,2
633,1782582852329,0,0,2
634,1782582852912,0,0,2
635,1782582854944,0,0,2
636,1782582855960,0,0,2
637,1782582856193,0,0,2
638,1782582856476,0,0,2
639,1782582857558,0,0,2
640,1782582858208,0,0,2
641,1782582858525,0,0,2
642,1782582859074,0,0,2
643,1782582859491,0,0,2
644,1782582860157,0,0,2
645,1782582860773,0,0,2
646,1782582861689,0,0,2
647,1782582862787,0,0,2
648,1782582864369,0,0,2
649,1782582865119,0,0,2
650,1782582866335,0,0,2
651,1782582867101,0,0,2
652,1782582869249,0,0,2
653,1782582869898,0,0,2
654,1782582871147,0,0,2
655,1782582872696,0,0,2
656,1782582873145,0,0,2
657,1782582873246,0,0,2
658,1782582873630,0,0,2
659,1782582874294,0,0,2
660,1782582875044,0,0,2
661,1782582875710,0,0,2
662,1782582877126,0,0,2
663,1782582877892,0,0,2
664,1782582878408,0,0,2
665,1782582879092,0,0,2
666,1782582879857,0,0,2
667,1782582880556,0,0,2
668,1782582880805,0,0,2
669,1782582881489,0,0,2
670,1782582881788,0,0,2
671,1782582882521,0,0,2
672,1782582883503,0,0,2
673,1782582884236,0,0,2
674,1782582885002,0,0,2
675,1782582885502,0,0,2
676,1782582886484,0,0,2
677,1782582887500,0,0,2
678,1782582888067,0,0,2
679,1782582888816,0,0,2
680,1782582889533,0,0,2
681,1782582890014,0,0,2
682,1782582890431,0,0,2
683,1782582891580,0,0,2
684,1782582892362,0,0,2
685,1782582892545,0,0,2
686,1782582892862,0,0,2
687,1782582893578,0,0,2
688,1782582894277,0,0,2
689,1782582895561,0,0,2
690,1782582896276,0,0,2
691,1782582896609,0,0,2
692,1782582897425,0,0,2
693,1782582898241,0,0,2
694,1782582898341,0,0,2
695,1782582899157,0,0,2
696,1782582899990,0,0,2
697,1782582900106,0,0,2
698,1782582900505,0,0,2
699,1782582903421,0,0,2
700,1782582903720,0,0,2
701,1782582904136,0,0,2
702,1782582904435,0,0,2
703,1782582904752,0,0,2
704,1782582904919,0,0,2
