index,date,ERROR_ID,STACK,CELL,VOLTAGE,1,2,3,4
357,1768832667984,2,1,1,0.0,0,0,0,0
358,1768832668284,2,1,1,0.0,0,0,0,0
359,1768832668816,2,1,1,0.0,0,0,0,0
360,1768832669465,2,1,1,0.0,0,0,0,0
361,1768832669732,2,1,1,0.0,0,0,0,0
362,1768832672748,2,1,1,0.0,0,0,0,0
363,1768832673084,2,1,1,0.0,0,0,0,0
364,1768832673233,2,1,1,0.0,0,0,0,0
365,1768832673850,2,1,1,0.0,0,0,0,0
366,1768832673866,2,1,1,0.0,0,0,0,0
367,1768832674116,2,1,1,0.0,0,0,0,0
368,1768832674433,2,1,1,0.0,0,0,0,0
369,1768832674783,2,1,1,0.0,0,0,0,0
370,1768832675065,2,1,1,0.0,0,0,0,0
371,1768832675681,2,1,1,0.0,0,0,0,0
372,1768832676182,2,1,1,0.0,0,0,0,0
373,1768832676316,2,1,1,0.0,0,0,0,0
374,1768832676535,2,1,1,0.0,0,0,0,0
375,1768832676599,2,1,1,0.0,0,0,0,0
376,1768832676883,2,1,1,0.0,0,0,0,0
377,1768832677184,2,1,1,0.0,0,0,0,0
378,1768832677465,2,1,1,0.0,0,0,0,0
379,1768832677833,2,1,1,0.0,0,0,0,0
380,1768832678067,2,1,1,0.0,0,0,0,0
381,1768832678700,2,1,1,0.0,0,0,0,0
382,1768832678982,2,1,1,0.0,0,0,0,0
383,1768832679299,2,1,1,0.0,0,0,0,0
384,1768832679599,2,1,1,0.0,0,0,0,0
385,1768832679649,2,1,1,0.0,0,0,0,0
386,1768832679885,2,1,1,0.0,0,0,0,0
387,1768832680233,2,1,1,0.0,0,0,0,0
388,1768832680502,2,1,1,0.0,0,0,0,0
389,1768832680782,2,1,1,0.0,0,0,0,0
390,1768832681116,2,1,1,0.0,0,0,0,0
391,1768832681685,2,1,1,0.0,0,0,0,0
392,1768832682034,2,1,1,0.0,0,0,0,0
393,1768832682283,2,1,1,0.0,0,0,0,0
394,1768832683165,2,1,1,0.0,0,0,0,0
395,1768832683448,2,1,1,0.0,0,0,0,0
396,1768832683498,2,1,1,0.0,0,0,0,0
397,1768832683749,2,1,1,0.0,0,0,0,0
398,1768832684099,2,1,1,0.0,0,0,0,0
399,1768832684383,2,1,1,0.0,0,0,0,0
400,1768832684649,2,1,1,0.0,0,0,0,0
401,1768832684964,2,1,1,0.0,0,0,0,0
402,1768832684999,2,1,1,0.0,0,0,0,0
403,1768832686067,2,2305,1,0.0,0,0,0,0
404,1768832686699,2,1,1,0.0,0,0,0,0
405,1768832686752,2,1,1,0.0,0,0,0,0
406,1768832687898,2,1,1,0.0,0,0,0,0
407,1768832688050,2,1,1,0.0,0,0,0,0
408,1768832688668,2,1,1,0.0,0,0,0,0
409,1768832688999,2,1,1,0.0,0,0,0,0
410,1768832689249,2,1,1,0.0,0,0,0,0
411,1768832689550,2,1,1,0.0,0,0,0,0
412,1768832689831,2,1,1,0.0,0,0,0,0
413,1768832690099,2,1,1,0.0,0,0,0,0
414,1768832690983,2,1,1,0.0,0,0,0,0
415,1768832691532,2,1,1,0.0,0,0,0,0
416,1768832691850,2,1,1,0.0,0,0,0,0
417,1768832692082,2,1,1,0.0,0,0,0,0
418,1768832692415,2,1,1,0.0,0,0,0,0
419,1768832692699,2,1,1,0.0,0,0,0,0
420,1768832692982,2,1,1,0.0,0,0,0,0
421,1768832693864,2,1,1,0.0,0,0,0,0
422,1768832694134,2,1,1,0.0,0,0,0,0
423,1768832694448,2,1,1,0.0,0,0,0,0
424,1768832695348,2,1,1,0.0,0,0,0,0
425,1768832696233,2,1,1,0.0,0,0,0,0
426,1768832696466,2,1,1,0.0,0,0,0,0
427,1768832696832,2,1,1,0.0,0,0,0,0
428,1768832697733,2,1,1,0.0,0,0,0,0
429,1768832698031,2,1,1,0.0,0,0,0,0
430,1768832698315,2,1,1,0.0,0,0,0,0
431,1768832698948,2,1,1,0.0,0,0,0,0
432,1768832699283,2,1,1,0.0,0,0,0,0
433,1768832699834,2,1,1,0.0,0,0,0,0
434,1768832700448,2,1,1,0.0,0,0,0,0
435,1768832701066,2,1,1,0.0,0,0,0,0
436,1768832701700,2,1,1,0.0,0,0,0,0
437,1768832701948,2,1,1,0.0,0,0,0,0
438,1768832702265,2,1,1,0.0,0,0,0,0
439,1768832702566,2,1,1,0.0,0,0,0,0
440,1768832703215,2,1,1,0.0,0,0,0,0
441,1768832703449,2,1,1,0.0,0,0,0,0
442,1768832704947,2,1,1,0.0,0,0,0,0
443,1768832705449,2,1,1,0.0,0,0,0,0
444,1768832705765,2,1,1,0.0,0,0,0,0
445,1768832705998,2,1,1,0.0,0,0,0,0
446,1768832706365,2,1,1,0.0,0,0,0,0
447,1768832706681,2,1,16385,0.0,0,0,0,0
448,1768832708615,2,1,1,0.0,0,0,0,0
449,1768832709165,2,1,1,0.0,0,0,0,0
450,1768832709631,2,1,1,0.0,0,0,0,0
451,1768832711051,2,1,1,0.0,0,0,0,0
452,1768832711365,2,1,1,0.0,0,0,0,0
453,1768832711635,2,1,1,0.0,0,0,0,0
454,1768832712568,2,1,1,0.0,0,0,0,0
455,1768832712814,2,1,1,0.0,0,0,0,0
456,1768832713099,2,1,1,0.0,0,0,0,0
457,1768832713365,2,1,1,0.0,0,0,0,0
458,1768832713698,2,1,1,0.0,0,0,0,0
459,1768832713933,2,1,1,0.0,0,0,0,0
460,1768832714519,2,1,1,0.0,0,0,0,0
461,1768832718749,2,1,1,0.0,0,0,0,0
462,1768832719284,2,1,1,0.0,0,0,0,0
463,1768832719532,2,1,1,0.0,0,0,0,0
464,1768832719864,2,1,1,0.0,0,0,0,0
465,1768832720115,2,1,1,0.0,0,0,0,0
466,1768832720202,2,1,1,0.0,0,0,0,0
467,1768832720466,2,1,1,0.0,0,0,0,0
468,1768832720769,2,1,1,0.0,0,0,0,0
469,1768832721217,2,1,1,0.0,0,0,0,0
470,1768832721803,2,1,1,0.0,0,0,0,0
471,1768832722067,2,1,1,0.0,0,0,0,0
472,1768832722384,2,1,1,0.0,0,0,0,0
473,1768832723019,2,1,1,0.0,0,0,0,0
474,1768832723532,2,1,1,0.0,0,0,0,0
475,1768832723783,2,1,1,0.0,0,0,0,0
476,1768832724115,2,1,1,0.0,0,0,0,0
477,1768832724366,2,1,1,0.0,0,0,0,0
478,1768832724684,2,1,1,0.0,0,0,0,0
479,1768832725016,2,1,1,0.0,0,0,0,0
480,1768832725216,2,1,1,0.0,0,0,0,0
481,1768832725852,2,1,1,0.0,0,0,0,0
482,1768832725866,2,1,1,0.0,0,0,0,0
483,1768832726499,2,1,1,0.0,0,0,0,0
484,1768832727099,2,1,1,0.0,0,0,0,0
485,1768832727667,2,1,1,0.0,0,0,0,0
