index,date,TORQUE_GAIN,TORQUE_DECREASE_R,TORQUE_DECRASE_L
784,1782566501751,1138,1138,0
785,1782566502284,0,0,0
786,1782566503183,862,862,0
787,1782566503550,990,990,0
788,1782566504398,1315,1315,0
789,1782566505314,1314,1314,0
790,1782566507762,946,946,0
791,1782566508246,781,781,0
792,1782566511193,795,795,0
793,1782566511393,709,709,0
794,1782566511976,1050,1050,0
795,1782566512359,1056,1056,0
796,1782566513491,355,355,0
797,1782566515240,0,0,0
798,1782566516405,0,0,0
799,1782566516705,0,0,0
800,1782566517071,0,0,0
801,1782566518438,0,0,0
802,1782566519652,0,0,0
803,1782566520935,0,0,0
804,1782566521751,0,0,0
805,1782566522783,0,0,0
806,1782566523649,0,0,0
807,1782566524548,0,0,0
808,1782566524998,0,0,0
809,1782566527030,0,0,0
810,1782566528012,0,0,0
811,1782566528262,0,0,0
812,1782566528912,0,0,0
813,1782566529794,0,0,0
814,1782566530244,0,0,0
815,1782566530793,0,0,0
816,1782566531009,0,0,0
817,1782566531959,0,0,0
818,1782566533841,0,0,0
819,1782566535073,0,0,0
820,1782566535489,0,0,0
821,1782566535922,0,0,0
822,1782566536356,0,0,0
823,1782566537238,0,0,0
824,1782566537588,0,0,0
825,1782566538004,0,0,0
826,1782566538054,0,0,0
827,1782566538337,0,0,0
828,1782566538736,0,0,0
829,1782566540253,0,0,0
830,1782566541685,0,0,0
831,1782566542050,0,0,0
832,1782566543099,0,0,0
833,1782566544299,0,0,0
834,1782566544748,0,0,0
835,1782566545481,0,0,0
836,1782566546796,0,0,0
837,1782566547946,0,0,0
838,1782566548928,0,0,0
839,1782566549911,0,0,0
840,1782566551076,0,0,0
841,1782566552275,0,0,0
842,1782566553441,0,0,0
843,1782566554457,0,0,0
844,1782566555073,0,0,0
845,1782566555356,0,0,0
846,1782566556571,0,0,0
847,1782566557504,0,0,0
848,1782566557788,0,0,0
849,1782566558687,0,0,0
850,1782566563274,0,0,0
851,1782566563299,0,0,0
852,1782566564215,0,0,0
853,1782566564465,0,0,0
854,1782566565314,0,0,0
855,1782566565647,0,0,0
856,1782566565996,0,0,0
857,1782566568613,0,0,0
858,1782566569011,0,0,0
859,1782566569527,0,0,0
860,1782566569761,0,0,0
861,1782566570093,0,0,0
862,1782566571276,0,0,0
863,1782566571559,0,0,0
864,1782566572409,0,0,0
865,1782566572858,0,0,0
866,1782566573774,0,0,0
867,1782566574268,0,0,0
868,1782566574356,0,0,0
869,1782566574906,0,0,0
870,1782566576105,0,0,0
871,1782566576422,0,0,0
872,1782566577287,0,0,0
873,1782566577653,0,0,0
874,1782566578520,0,0,0
875,1782566578970,0,0,0
876,1782566579152,0,0,0
877,1782566579352,0,0,0
878,1782566581100,0,0,0
879,1782566581651,0,0,0
880,1782566581833,0,0,0
881,1782566583149,0,0,0
882,1782566583532,0,0,0
883,1782566584015,0,0,0
884,1782566584232,0,0,0
885,1782566585530,0,0,0
886,1782566587629,0,0,0
887,1782566588045,0,0,0
888,1782566589777,0,0,0
889,1782566591026,0,0,0
890,1782566592209,0,0,0
891,1782566592591,0,0,0
892,1782566593757,0,0,0
893,1782566593957,0,0,0
894,1782566594323,0,0,0
895,1782566595156,0,0,0
896,1782566595555,0,0,0
897,1782566595905,0,0,0
898,1782566596289,0,0,0
899,1782566596555,0,0,0
900,1782566596971,426,426,0
901,1782566599350,1428,1428,0
902,1782566599700,1450,1450,0
903,1782566600550,1441,1441,0
904,1782566601365,1308,1308,0
905,1782566601749,1332,1332,0
906,1782566602082,1339,1339,0
907,1782566603014,1227,1227,0
908,1782566603230,541,541,0
909,1782566603897,625,625,0
910,1782566604247,496,496,0
911,1782566605129,930,930,0
912,1782566605729,0,0,0
913,1782566605928,0,0,0
914,1782566606378,225,225,0
915,1782566607311,1465,1465,0
916,1782566607594,1470,1470,0
917,1782566608510,1083,1083,0
918,1782566609359,865,865,0
919,1782566609758,994,994,0
920,1782566612789,1333,1333,0
