index,date,TORQUE_GAIN,TORQUE_DECREASE_R,TORQUE_DECREASE_L
622,1782566346965,10,0,0
623,1782566348929,10,0,0
624,1782566349312,10,0,0
625,1782566350178,10,0,0
626,1782566350445,10,0,0
627,1782566350794,10,0,0
628,1782566352259,10,0,0
629,1782566353092,10,0,0
630,1782566353443,10,0,0
631,1782566354409,10,0,0
632,1782566354825,10,0,0
633,1782566354924,10,0,0
634,1782566355191,10,0,0
635,1782566355624,10,0,0
636,1782566356523,10,0,0
637,1782566356939,10,0,0
638,1782566357489,10,0,0
639,1782566357972,10,0,0
640,1782566358638,10,0,0
641,1782566359654,10,0,0
642,1782566360586,10,0,0
643,1782566361469,10,0,0
644,1782566361885,10,0,0
645,1782566362268,10,0,0
646,1782566362301,10,0,0
647,1782566362684,10,0,0
648,1782566363600,10,0,0
649,1782566364033,10,0,0
650,1782566364832,10,0,0
651,1782566366031,10,0,0
652,1782566366448,10,0,0
653,1782566367214,10,0,0
654,1782566368163,10,0,0
655,1782566368968,10,0,0
656,1782566369313,10,0,0
657,1782566369528,10,0,0
658,1782566369728,10,0,0
659,1782566370678,10,0,0
660,1782566371111,10,0,0
661,1782566372243,10,0,0
662,1782566373442,10,0,0
663,1782566373742,10,0,0
664,1782566374075,10,0,0
665,1782566374241,10,0,0
666,1782566374775,10,0,0
667,1782566378105,10,0,0
668,1782566378538,10,0,0
669,1782566379371,10,0,0
670,1782566380220,10,0,0
671,1782566381202,10,0,0
672,1782566382035,10,0,0
673,1782566382401,10,0,0
674,1782566383450,10,0,0
675,1782566384866,10,0,0
676,1782566386215,10,0,0
677,1782566386997,10,0,0
678,1782566387380,10,0,0
679,1782566388580,10,0,0
680,1782566389812,10,0,0
681,1782566390979,10,0,0
682,1782566391127,10,0,0
683,1782566391561,10,0,0
684,1782566391926,10,0,0
685,1782566393242,10,0,0
686,1782566393741,10,0,0
687,1782566394025,10,0,0
688,1782566394974,10,0,0
689,1782566395324,10,0,0
690,1782566396290,10,0,0
691,1782566397089,10,0,0
692,1782566397503,10,0,0
693,1782566398703,10,0,0
694,1782566398903,10,0,0
695,1782566400334,10,0,0
696,1782566400685,10,0,0
697,1782566401983,10,0,0
698,1782566402450,10,0,0
699,1782566403399,10,0,0
700,1782566403866,10,0,0
701,1782566404216,10,0,0
702,1782566405048,10,0,0
703,1782566405464,10,0,0
704,1782566405696,10,0,0
705,1782566406213,10,0,0
706,1782566406631,10,0,0
707,1782566407147,10,0,0
708,1782566407564,0,0,0
709,1782566410944,10,0,0
710,1782566411560,10,0,0
711,1782566412143,10,0,0
712,1782566412742,10,0,0
713,1782566414008,10,0,0
714,1782566414074,10,0,0
715,1782566414707,10,0,0
716,1782566414941,10,0,0
717,1782566415540,10,0,0
718,1782566416083,10,0,0
719,1782566416189,10,0,0
720,1782566416372,10,0,0
721,1782566420386,25,0,0
722,1782566420686,25,0,0
723,1782566420935,25,0,0
724,1782566421269,25,0,0
725,1782566421385,25,0,0
726,1782566421951,25,0,0
727,1782566422251,25,0,0
728,1782566422534,25,0,0
729,1782566422851,25,0,0
730,1782566423166,25,0,0
731,1782566423500,25,0,0
732,1782566423733,25,0,0
733,1782566424715,25,0,0
734,1782566425065,25,0,0
735,1782566425316,25,0,0
736,1782566425648,25,0,0
737,1782566425881,25,0,0
738,1782566428796,25,0,0
739,1782566428879,25,0,0
740,1782566429262,25,0,0
741,1782566429562,25,0,0
742,1782566435556,10,0,0
743,1782566436190,10,0,0
744,1782566436772,10,0,0
745,1782566437355,10,0,0
746,1782566438621,10,0,0
747,1782566439337,10,0,0
748,1782566439570,10,0,0
749,1782566439920,10,0,0
750,1782566440253,10,0,0
751,1782566440552,10,0,0
752,1782566441118,10,0,0
753,1782566441602,10,0,0
754,1782566441835,10,0,0
755,1782566442184,10,0,0
756,1782566442435,10,0,0
757,1782566442684,10,0,0
758,1782566443000,10,0,0
759,1782566443300,10,0,0
760,1782566453492,25,0,0
761,1782566453758,25,0,0
762,1782566454057,25,0,0
763,1782566455539,25,0,0
764,1782566456356,25,0,0
765,1782566457638,25,0,0
766,1782566458104,25,0,0
767,1782566458187,25,0,0
768,1782566458520,25,0,0
769,1782566458870,25,0,0
770,1782566460052,25,0,0
771,1782566460418,25,0,0
772,1782566461117,25,0,0
773,1782566461550,25,0,0
774,1782566462766,25,0,0
775,1782566464184,25,0,0
776,1782566464214,25,0,0
777,1782566465715,25,0,0
778,1782566466563,25,0,0
779,1782566467013,25,0,0
780,1782566468112,25,0,0
781,1782566469028,25,0,0
782,1782566469411,25,0,0
783,1782566471160,25,0,0
784,1782566472359,25,0,0
785,1782566473258,25,0,0
786,1782566473625,25,0,0
787,1782566474557,25,0,0
788,1782566475206,25,0,0
789,1782566475206,25,0,0
790,1782566475356,25,0,0
791,1782566475790,25,0,0
792,1782566476322,25,0,0
793,1782566476738,25,0,0
794,1782566477088,25,0,0
795,1782566477688,25,0,0
796,1782566477921,25,0,0
797,1782566478804,25,0,0
798,1782566481285,25,0,0
799,1782566483283,25,0,0
800,1782566483749,25,0,0
801,1782566484632,25,0,0
802,1782566485449,25,0,0
803,1782566485814,25,0,0
804,1782566486980,25,0,0
805,1782566488462,25,0,0
806,1782566488828,25,0,0
807,1782566489960,25,0,0
808,1782566491409,25,0,0
809,1782566491743,25,0,0
810,1782566491993,25,0,0
811,1782566492592,25,0,0
812,1782566492958,25,0,0
813,1782566493791,25,0,0
814,1782566494240,25,0,0
815,1782566494490,25,0,0
816,1782566494690,25,0,0
817,1782566495073,25,0,0
818,1782566495939,25,0,0
819,1782566496305,25,0,0
820,1782566497219,25,0,0
821,1782566497238,25,0,0
822,1782566498453,25,0,0
823,1782566500568,25,0,0
824,1782566500935,25,0,0
825,1782566502300,25,0,0
826,1782566502718,25,0,0
827,1782566503999,25,0,0
828,1782566504832,25,0,0
829,1782566505747,25,0,0
830,1782566506130,25,0,0
831,1782566506496,25,0,0
832,1782566506614,25,0,0
833,1782566506913,25,0,0
834,1782566507329,25,0,0
835,1782566508496,25,0,0
836,1782566508945,25,0,0
837,1782566509045,25,0,0
838,1782566509394,25,0,0
839,1782566510294,25,0,0
840,1782566510693,25,0,0
841,1782566512692,25,0,0
842,1782566513074,25,0,0
843,1782566513841,25,0,0
