index,date,CONTROL_EVENT_FLAG_1,CONTROL_EVENT_FLAG_2
1276,1782566817652,0,0
1277,1782566819734,0,0
1278,1782566820167,0,0
1279,1782566821848,0,0
1280,1782566823231,0,0
1281,1782566823481,0,0
1282,1782566823996,0,0
1283,1782566824380,0,0
1284,1782566825312,0,0
1285,1782566826028,0,0
1286,1782566826112,0,0
1287,1782566826561,0,0
1288,1782566827521,0,0
1289,1782566827535,0,0
1290,1782566829509,0,5
1291,1782566829908,0,5
1292,1782566830974,0,5
1293,1782566831392,0,5
1294,1782566832505,0,5
1295,1782566832904,0,5
1296,1782566833137,0,5
1297,1782566833587,0,5
1298,1782566834019,0,5
1299,1782566834353,0,5
1300,1782566834885,0,5
1301,1782566835335,0,5
1302,1782566835785,0,5
1303,1782566836202,0,5
1304,1782566837017,0,5
1305,1782566837467,0,5
1306,1782566838525,0,5
1307,1782566839151,0,5
1308,1782566840716,0,5
1309,1782566841599,0,5
1310,1782566842031,0,5
1311,1782566843797,0,5
1312,1782566844696,0,5
1313,1782566845095,0,5
1314,1782566845329,0,5
1315,1782566845928,0,5
1316,1782566846811,0,5
1317,1782566847210,0,5
1318,1782566847876,0,5
1319,1782566848077,0,5
1320,1782566848943,0,5
1321,1782566849533,0,5
1322,1782566850541,0,5
1323,1782566851074,0,5
1324,1782566851507,0,5
1325,1782566852356,0,5
1326,1782566853272,0,5
1327,1782566853655,0,5
1328,1782566854604,0,5
1329,1782566854888,0,5
1330,1782566855654,0,5
1331,1782566856020,0,5
1332,1782566858668,0,5
1333,1782566859033,0,5
1334,1782566859833,0,5
1335,1782566860000,0,5
1336,1782566860540,0,5
1337,1782566861665,0,5
1338,1782566862081,0,5
1339,1782566862248,0,5
1340,1782566862480,0,5
1341,1782566862831,0,5
1342,1782566863696,0,5
1343,1782566864130,0,5
1344,1782566864762,0,5
1345,1782566864962,0,5
1346,1782566865845,0,5
1347,1782566866277,0,5
1348,1782566868010,0,5
1349,1782566868393,0,5
1350,1782566869309,0,5
1351,1782566870174,0,5
1352,1782566871563,0,5
1353,1782566872140,0,5
1354,1782566873305,0,5
1355,1782566873688,0,5
1356,1782566875403,0,5
1357,1782566875753,0,5
1358,1782566877502,0,5
1359,1782566877951,0,5
1360,1782566879617,0,5
1361,1782566880016,0,5
1362,1782566880899,0,5
1363,1782566881282,0,5
1364,1782566881448,0,5
1365,1782566882567,0,5
1366,1782566882697,0,5
1367,1782566884213,0,5
1368,1782566884495,0,5
1369,1782566885329,0,5
1370,1782566885778,0,5
1371,1782566886610,0,5
1372,1782566887710,0,5
1373,1782566888094,0,5
1374,1782566889058,0,5
1375,1782566889824,0,5
1376,1782566890241,0,5
1377,1782566891990,0,5
1378,1782566892406,0,5
1379,1782566892972,0,5
1380,1782566893595,0,5
1381,1782566893639,0,5
1382,1782566894121,0,5
1383,1782566894554,0,5
1384,1782566895137,0,5
1385,1782566895521,0,5
1386,1782566896202,0,5
1387,1782566896236,0,5
1388,1782566897235,0,5
1389,1782566898267,0,5
1390,1782566899150,0,5
1391,1782566899533,0,5
1392,1782566900382,0,5
1393,1782566900766,0,5
1394,1782566900932,0,5
1395,1782566901248,0,5
1396,1782566901664,0,5
1397,1782566902597,0,5
1398,1782566903497,0,5
1399,1782566903763,0,5
1400,1782566904695,0,5
1401,1782566905595,0,5
1402,1782566906161,0,5
1403,1782566906560,0,5
1404,1782566907443,0,5
1405,1782566908009,0,5
1406,1782566908907,0,5
1407,1782566909273,0,5
1408,1782566910139,0,5
1409,1782566910472,0,5
1410,1782566911271,0,5
1411,1782566911638,0,5
1412,1782566912020,0,5
1413,1782566914322,0,5
1414,1782566914737,0,5
1415,1782566916136,0,5
1416,1782566916552,0,5
1417,1782566917734,0,5
1418,1782566918634,0,5
1419,1782566919899,0,5
1420,1782566920217,0,5
1421,1782566920682,0,5
1422,1782566921032,0,5
1423,1782566922281,0,5
1424,1782566922614,0,5
1425,1782566923463,0,5
1426,1782566923796,0,5
1427,1782566924645,0,5
1428,1782566924928,0,5
1429,1782566925761,0,5
1430,1782566927160,0,5
1431,1782566927510,0,5
1432,1782566927609,0,5
1433,1782566927977,0,5
1434,1782566929258,0,5
1435,1782566929641,0,5
1436,1782566929908,0,5
1437,1782566930407,0,5
1438,1782566931723,0,5
1439,1782566932539,0,5
1440,1782566932855,0,5
1441,1782566934087,0,5
1442,1782566934454,0,5
1443,1782566934771,0,5
1444,1782566935486,0,5
1445,1782566937069,0,5
1446,1782566938134,0,5
1447,1782566938600,0,5
1448,1782566939400,0,5
1449,1782566940565,0,5
1450,1782566940982,0,5
1451,1782566943011,0,5
1452,1782566943428,0,5
1453,1782566944293,0,5
1454,1782566945059,0,5
1455,1782566945475,0,5
1456,1782566946392,0,5
1457,1782566946675,0,5
1458,1782566947524,0,5
1459,1782566947957,0,5
1460,1782566948624,0,5
1461,1782566949439,0,5
1462,1782566949824,0,5
1463,1782566950674,0,5
1464,1782566951107,0,5
1465,1782566951872,0,5
1466,1782566952205,0,5
1467,1782566953039,0,5
1468,1782566953471,0,5
1469,1782566954254,0,5
1470,1782566954604,0,5
1471,1782566955886,0,5
1472,1782566957619,0,5
1473,1782566958034,0,5
1474,1782566958601,0,5
1475,1782566959634,0,5
1476,1782566959832,0,5
1477,1782566961049,0,5
1478,1782566962481,0,5
1479,1782566962847,0,5
1480,1782566963912,0,5
1481,1782566964213,0,5
1482,1782566965728,0,5
1483,1782566966144,0,5
1484,1782566966810,0,5
1485,1782566967210,0,5
1486,1782566967560,0,5
1487,1782566969575,0,5
1488,1782566969924,0,5
1489,1782566970773,0,5
1490,1782566971640,0,5
1491,1782566972039,0,5
1492,1782566972389,0,5
1493,1782566973238,0,5
1494,1782566974054,0,5
1495,1782566974437,0,5
1496,1782566975371,0,5
1497,1782566975736,0,5
1498,1782566976518,0,5
1499,1782566976919,0,5
1500,1782566977801,0,5
1501,1782566978201,0,5
1502,1782566978334,0,5
1503,1782566978616,0,5
1504,1782566979067,0,5
1505,1782566979900,0,5
1506,1782566980299,0,5
1507,1782566980832,0,5
1508,1782566981644,0,5
1509,1782566982014,0,5
1510,1782566982447,0,5
1511,1782566984113,0,5
1512,1782566984546,0,5
1513,1782566986562,0,5
1514,1782566986977,0,5
1515,1782566988177,0,5
1516,1782566989542,0,5
1517,1782566989958,0,5
1518,1782566990357,0,5
1519,1782566990674,0,5
1520,1782566990990,0,5
1521,1782566991407,0,5
1522,1782566992660,0,5
1523,1782566992689,0,5
1524,1782566992788,0,5
1525,1782566993421,0,5
1526,1782566993821,0,5
1527,1782566994720,0,5
1528,1782566995336,0,5
1529,1782566995619,0,5
1530,1782566996585,0,5
1531,1782566998317,0,5
1532,1782566998734,0,5
1533,1782566999916,0,5
1534,1782567000465,0,5
1535,1782567000848,0,5
1536,1782567001231,0,5
1537,1782567002031,0,5
1538,1782567002380,0,5
1539,1782567002863,0,5
1540,1782567003664,0,5
1541,1782567003895,0,5
1542,1782567004312,0,5
1543,1782567006726,192,0
1544,1782567007310,192,0
1545,1782567007876,192,0
1546,1782567008509,0,0
1547,1782567009192,0,0
1548,1782567009258,0,0
1549,1782567009541,0,0
1550,1782567009891,0,0
1551,1782567010157,0,0
1552,1782567010457,0,0
1553,1782567010690,0,0
