index,date,SPEED_R_MOTOR,TORQUE_R_MOTOR,POWER_R_MOTOR,CURRENT_R_MOTOR,1,2,3,4
1299,1762970195952,0,0,0,0,0,0,0,0
1300,1762970196500,0,0,0,0,0,0,0,0
1301,1762970197050,0,0,0,0,0,0,0,0
1302,1762970197150,0,0,0,0,0,0,0,0
1303,1762970197267,0,0,0,0,0,0,0,0
1304,1762970197983,0,0,0,0,0,0,0,0
1305,1762970198232,0,0,0,0,0,0,0,0
1306,1762970198366,0,0,0,0,0,0,0,0
1307,1762970198468,0,0,0,0,0,0,0,0
1308,1762970198566,0,0,0,0,0,0,0,0
1309,1762970198682,0,0,0,0,0,0,0,0
1310,1762970198798,0,0,0,0,0,0,0,0
1311,1762970198932,0,0,0,0,0,0,0,0
1312,1762970199231,0,0,0,0,0,0,0,0
1313,1762970199348,0,0,0,0,0,0,0,0
1314,1762970199465,0,0,0,0,0,0,0,0
1315,1762970199564,0,0,0,0,0,0,0,0
1316,1762970199681,0,0,0,0,0,0,0,0
1317,1762970199782,0,0,0,0,0,0,0,0
1318,1762970200047,0,0,0,0,0,0,0,0
1319,1762970200331,0,0,0,0,0,0,0,0
1320,1762970200547,0,0,0,0,0,0,0,0
1321,1762970200763,0,0,0,0,0,0,0,0
1322,1762970201063,0,0,0,0,0,0,0,0
1323,1762970201214,0,0,0,0,0,0,0,0
1324,1762970202996,0,0,0,0,0,0,0,0
1325,1762970203278,0,0,0,0,0,0,0,0
1326,1762970203395,0,0,0,0,0,0,0,0
1327,1762970203494,0,0,0,0,0,0,0,0
1328,1762970203744,0,0,0,0,0,0,0,0
1329,1762970203844,0,0,0,0,0,0,0,0
1330,1762970203962,0,0,0,0,0,0,0,0
1331,1762970204078,0,0,0,0,0,0,0,0
1332,1762970204161,0,0,0,0,0,0,0,0
1333,1762970204280,0,0,0,0,0,0,0,0
1334,1762970204377,0,0,0,0,0,0,0,0
1335,1762970204494,0,0,0,0,0,0,0,0
1336,1762970204610,0,0,0,0,0,0,0,0
1337,1762970204712,0,0,0,0,0,0,0,0
1338,1762970204827,0,0,0,0,0,0,0,0
1339,1762970204943,0,0,0,0,0,0,0,0
1340,1762970205159,0,0,0,0,0,0,0,0
1341,1762970205260,0,0,0,0,0,0,0,0
1342,1762970205476,0,0,0,0,0,0,0,0
1343,1762970205593,0,0,0,0,0,0,0,0
1344,1762970205709,0,0,0,0,0,0,0,0
1345,1762970205826,0,0,0,0,0,0,0,0
1346,1762970205926,0,0,0,0,0,0,0,0
1347,1762970206042,0,0,0,0,0,0,0,0
1348,1762970206159,0,0,0,0,0,0,0,0
1349,1762970206260,0,0,0,0,0,0,0,0
1350,1762970206360,0,0,0,0,0,0,0,0
1351,1762970206475,0,0,0,0,0,0,0,0
1352,1762970206608,0,0,0,0,0,0,0,0
1353,1762970206742,0,0,0,0,0,0,0,0
1354,1762970206825,0,0,0,0,0,0,0,0
1355,1762970206991,0,0,0,0,0,0,0,0
1356,1762970207109,0,0,0,0,0,0,0,0
1357,1762970207241,0,0,0,0,0,0,0,0
1358,1762970207358,0,0,0,0,0,0,0,0
1359,1762970207690,0,0,0,0,0,0,0,0
1360,1762970207792,0,0,0,0,0,0,0,0
1361,1762970207925,0,0,0,0,0,0,0,0
1362,1762970208142,0,0,0,0,0,0,0,0
1363,1762970208224,0,0,0,0,0,0,0,0
1364,1762970208341,0,0,0,0,0,0,0,0
1365,1762970208459,0,0,0,0,0,0,0,0
1366,1762970208907,0,0,0,0,0,0,0,0
1367,1762970209058,0,0,0,0,0,0,0,0
1368,1762970209225,0,0,0,0,0,0,0,0
1369,1762970209324,0,0,0,0,0,0,0,0
1370,1762970209558,0,0,0,0,0,0,0,0
1371,1762970209656,0,0,0,0,0,0,0,0
1372,1762970209773,0,0,0,0,0,0,0,0
1373,1762970209890,0,0,0,0,0,0,0,0
1374,1762970210223,0,0,0,0,0,0,0,0
1375,1762970210322,0,0,0,0,0,0,0,0
1376,1762970210423,0,0,0,0,0,0,0,0
1377,1762970210523,0,0,0,0,0,0,0,0
1378,1762970210640,0,0,0,0,0,0,0,0
1379,1762970210757,0,0,0,0,0,0,0,0
1380,1762970210873,0,0,0,0,0,0,0,0
1381,1762970211006,0,0,0,0,0,0,0,0
1382,1762970211206,0,0,0,0,0,0,0,0
1383,1762970211321,0,0,0,0,0,0,0,0
1384,1762970211421,0,0,0,0,0,0,0,0
1385,1762970211537,0,0,0,0,0,0,0,0
1386,1762970211655,0,0,0,0,0,0,0,0
1387,1762970211756,0,0,0,0,0,0,0,0
1388,1762970211855,0,0,0,0,0,0,0,0
1389,1762970212137,0,0,0,0,0,0,0,0
1390,1762970212190,0,0,0,0,0,0,0,0
1391,1762970212520,0,0,0,0,0,0,0,0
1392,1762970212620,0,0,0,0,0,0,0,0
1393,1762970212739,0,0,0,0,0,0,0,0
1394,1762970213008,0,0,0,0,0,0,0,0
1395,1762970213204,0,0,0,0,0,0,0,0
1396,1762970213386,0,0,0,0,0,0,0,0
1397,1762970213604,0,0,0,0,0,0,0,0
1398,1762970213970,0,0,0,0,0,0,0,0
1399,1762970214096,0,0,0,0,0,0,0,0
1400,1762970214172,0,0,0,0,0,0,0,0
1401,1762970214404,0,0,0,0,0,0,0,0
1402,1762970214505,0,0,0,0,0,0,0,0
1403,1762970214910,0,0,0,0,0,0,0,0
1404,1762970215121,0,0,0,0,0,0,0,0
1405,1762970215268,0,0,0,0,0,0,0,0
1406,1762970215385,0,0,0,0,0,0,0,0
1407,1762970215485,0,0,0,0,0,0,0,0
1408,1762970215637,0,0,0,0,0,0,0,0
1409,1762970215753,0,0,0,0,0,0,0,0
1410,1762970215835,0,0,0,0,0,0,0,0
1411,1762970216201,0,0,0,0,0,0,0,0
1412,1762970216303,0,0,0,0,0,0,0,0
1413,1762970216419,0,0,0,0,0,0,0,0
1414,1762970216552,0,0,0,0,0,0,0,0
1415,1762970216705,0,0,0,0,0,0,0,0
1416,1762970216785,0,0,0,0,0,0,0,0
1417,1762970216937,0,0,0,0,0,0,0,0
1418,1762970217051,0,0,0,0,0,0,0,0
1419,1762970217251,0,0,0,0,0,0,0,0
1420,1762970217395,0,0,0,0,0,0,0,0
1421,1762970217584,0,0,0,0,0,0,0,0
1422,1762970217784,0,0,0,0,0,0,0,0
1423,1762970218052,0,0,0,0,0,0,0,0
1424,1762970218153,0,0,0,0,0,0,0,0
1425,1762970218240,0,0,0,0,0,0,0,0
1426,1762970218351,0,0,0,0,0,0,0,0
1427,1762970218468,0,0,0,0,0,0,0,0
1428,1762970218584,0,0,0,0,0,0,0,0
1429,1762970218684,0,0,0,0,0,0,0,0
1430,1762970218835,0,0,0,0,0,0,0,0
1431,1762970219136,0,0,0,0,0,0,0,0
1432,1762970222051,0,0,0,0,0,0,0,0
1433,1762970223462,0,0,0,0,0,0,0,0
