index,date,BMS_MODE,BMS_ERROR,AIR_P,AIR_N,1,2,3,4
523,1762970342798,1,0,1,1,0,0,0,0
524,1762970343330,1,0,1,1,0,0,0,0
525,1762970344613,1,0,1,1,0,0,0,0
526,1762970345046,1,0,1,1,0,0,0,0
527,1762970345578,1,0,1,1,0,0,0,0
528,1762970345995,1,0,1,1,0,0,0,0
529,1762970347411,1,0,1,1,0,0,0,0
530,1762970347777,1,0,1,1,0,0,0,0
531,1762970348259,1,0,1,1,0,0,0,0
532,1762970348692,1,0,1,1,0,0,0,0
533,1762970349175,1,0,1,1,0,0,0,0
534,1762970350159,1,0,1,1,0,0,0,0
535,1762970350958,1,0,1,1,0,0,0,0
536,1762970351876,1,0,1,1,0,0,0,0
537,1762970352806,1,0,1,1,0,0,0,0
538,1762970353356,1,0,1,1,0,0,0,0
539,1762970353706,1,0,1,1,0,0,0,0
540,1762970354221,1,0,1,1,0,0,0,0
541,1762970354639,1,0,1,1,0,0,0,0
542,1762970355187,1,0,1,1,0,0,0,0
543,1762970356186,1,0,1,1,0,0,0,0
544,1762970356886,1,0,1,1,0,0,0,0
545,1762970357803,1,0,1,1,0,0,0,0
546,1762970358401,1,0,1,1,0,0,0,0
547,1762970359634,1,0,1,1,0,0,0,0
548,1762970360170,1,0,1,1,0,0,0,0
549,1762970361002,1,0,1,1,0,0,0,0
550,1762970361516,1,0,1,1,0,0,0,0
551,1762970361917,1,0,1,1,0,0,0,0
552,1762970363282,1,0,1,1,0,0,0,0
553,1762970363714,1,0,1,1,0,0,0,0
554,1762970365145,1,0,1,1,0,0,0,0
555,1762970366012,1,0,1,1,0,0,0,0
556,1762970366462,1,0,1,1,0,0,0,0
557,1762970366911,1,0,1,1,0,0,0,0
558,1762970367378,1,0,1,1,0,0,0,0
559,1762970367844,1,0,1,1,0,0,0,0
560,1762970368343,1,0,1,1,0,0,0,0
561,1762970368743,1,0,1,1,0,0,0,0
562,1762970369642,1,0,1,1,0,0,0,0
563,1762970370209,1,0,1,1,0,0,0,0
564,1762970373374,1,0,1,1,0,0,0,0
565,1762970373755,1,0,1,1,0,0,0,0
566,1762970374671,1,0,1,1,0,0,0,0
567,1762970375204,1,0,1,1,0,0,0,0
568,1762970375687,1,0,1,1,0,0,0,0
569,1762970376053,1,0,1,1,0,0,0,0
570,1762970376487,1,0,1,1,0,0,0,0
571,1762970376953,1,0,1,1,0,0,0,0
572,1762970377469,1,0,1,1,0,0,0,0
