index,date,INV_STATE_R_MOTOR,FAILURE_R_MOTOR,ALARM_R_MOTOR,1,2,3,4,5
318,1762970038934,0,0,0,0,0,0,0,0
319,1762970039084,0,0,0,0,0,0,0,0
320,1762970039150,0,0,0,0,0,0,0,0
321,1762970039267,0,0,0,0,0,0,0,0
322,1762970039365,0,0,0,0,0,0,0,0
323,1762970039483,0,0,0,0,0,0,0,0
324,1762970040031,0,0,0,0,0,0,0,0
325,1762970040149,0,0,0,3.32,0,0,0,0
326,1762970040249,0,0,0,0,0,0,0,0
327,1762970040466,0,0,0,0,0,0,0,0
328,1762970040582,0,0,0,3.27,0,0,0,0
329,1762970040683,0,0,0,0,0,0,0,0
330,1762970040832,0,0,0,0,0,0,0,0
331,1762970040932,0,0,0,0,0,0,0,0
332,1762970041049,0,0,0,0,0,0,0,0
333,1762970041249,0,0,0,0,0,0,0,0
334,1762970041565,0,0,0,0,0,0,0,0
335,1762970041683,0,0,0,0,0,0,0,0
336,1762970041799,0,0,0,0,0,0,0,0
337,1762970041901,0,0,0,0,0,0,0,0
338,1762970042114,0,0,0,0,0,0,0,0
339,1762970042464,0,0,0,0,0,0,0,0
340,1762970042547,0,0,0,0,0,0,0,0
341,1762970042664,0,0,0,0,0,0,0,0
342,1762970042781,0,0,0,0,0,0,0,0
343,1762970043016,0,0,0,0,0,0,0,0
344,1762970043163,0,0,0,0,0,0,0,0
345,1762970043264,0,0,0,0,0,0,0,0
346,1762970043534,0,0,0,0,0,0,0,0
347,1762970043647,0,0,0,0,0,0,0,0
348,1762970043780,0,0,0,0,0,0,0,0
349,1762970044147,0,0,0,0,0,0,0,0
350,1762970044379,0,0,0,0,0,0,0,0
351,1762970044429,0,0,0,0,0,0,0,0
352,1762970044762,0,0,0,0,0,0,0,0
353,1762970044898,0,0,0,0,0,0,0,0
354,1762970045045,0,0,0,0,0,0,0,0
355,1762970045096,0,0,0,0,0,0,0,0
356,1762970045246,0,0,0,0,0,0,0,0
357,1762970045528,0,0,0,0,0,0,0,0
358,1762970046627,0,0,0,0,0,0,0,0
359,1762970046911,0,0,0,0,0,0,0,0
360,1762970046993,0,0,0,3.28,0,0,0,0
361,1762970047110,0,0,0,0,0,0,0,0
362,1762970047210,0,0,0,0,0,0,0,0
363,1762970047376,0,0,0,0,0,0,0,0
364,1762970047477,0,0,0,0,0,0,0,0
365,1762970047632,0,0,0,0,0,0,0,0
366,1762970047727,0,0,0,0,0,0,0,0
367,1762970047876,0,0,0,0,0,0,0,0
368,1762970047945,0,0,0,0,0,0,0,0
369,1762970048093,0,0,0,0,0,0,0,0
370,1762970048193,0,0,0,0,0,0,0,0
371,1762970048310,0,0,0,0,0,0,0,0
372,1762970048411,0,0,0,0,0,0,0,0
373,1762970048509,0,0,0,0,0,0,0,0
374,1762970048609,0,0,0,0,0,0,0,0
375,1762970048725,0,0,0,0,0,0,0,0
376,1762970049092,0,0,0,0,0,0,0,0
377,1762970049208,0,0,0,0,0,0,0,0
378,1762970049375,0,0,0,0,0,0,0,0
379,1762970049592,0,0,0,0,0,0,0,0
380,1762970049707,0,0,0,0,0,0,0,0
381,1762970049841,0,0,0,0,0,0,0,0
382,1762970049957,0,0,0,0,0,0,0,0
383,1762970050040,0,0,0,0,0,0,0,0
384,1762970050173,0,0,0,0,0,0,0,0
385,1762970050473,0,0,0,0,0,0,0,0
386,1762970050824,0,0,0,0,0,0,0,0
387,1762970050939,0,0,0,0,0,0,0,0
388,1762970051040,0,0,0,0,0,0,0,0
389,1762970051139,0,0,0,0,0,0,0,0
390,1762970051274,0,0,0,0,0,0,0,0
391,1762970051374,0,0,0,0,0,0,0,0
392,1762970051472,0,0,0,0,0,0,0,0
393,1762970051589,0,0,0,0,0,0,0,0
394,1762970051705,0,0,0,0,0,0,0,0
395,1762970051824,0,0,0,0,0,0,0,0
396,1762970051939,0,0,0,0,0,0,0,0
397,1762970052022,0,0,0,0,0,0,0,0
398,1762970052123,0,0,0,0,0,0,0,0
399,1762970052239,0,0,0,0,0,0,0,0
400,1762970052405,0,0,0,0,0,0,0,0
401,1762970052689,0,0,0,0,0,0,0,0
402,1762970052822,0,0,0,0,0,0,0,0
403,1762970052938,0,0,0,3.26,0,0,0,0
404,1762970053488,0,0,0,0,0,0,0,0
405,1762970053854,0,0,0,0,0,0,0,0
406,1762970054004,0,0,0,0,0,0,0,0
407,1762970054104,0,0,0,0,0,0,0,0
408,1762970054237,0,0,0,0,0,0,0,0
409,1762970054353,0,0,0,0,0,0,0,0
410,1762970054453,0,0,0,0,0,0,0,0
411,1762970054553,0,0,0,0,0,0,0,0
412,1762970054769,0,0,0,0,0,0,0,0
413,1762970054903,0,0,0,0,0,0,0,0
414,1762970054986,0,0,0,0,0,0,0,0
415,1762970055105,0,0,0,0,0,0,0,0
416,1762970055204,0,0,0,0,0,0,0,0
417,1762970055319,0,0,0,0,0,0,0,0
418,1762970055436,0,0,0,0,0,0,0,0
419,1762970055621,0,0,0,0,0,0,0,0
420,1762970055785,0,0,0,0,0,0,0,0
421,1762970055853,0,0,0,0,0,0,0,0
422,1762970055969,0,0,0,0,0,0,0,0
423,1762970056185,0,0,0,32570,0,0,0,0
424,1762970056302,0,0,0,0,0,0,0,0
425,1762970056419,0,0,0,0,0,0,0,0
426,1762970056752,0,0,0,0,0,0,0,0
427,1762970056852,0,0,0,0,0,0,0,0
428,1762970056968,0,0,0,0,0,0,0,0
429,1762970057118,0,0,0,0,0,0,0,0
430,1762970057218,0,0,0,0,0,0,0,0
431,1762970057435,0,0,0,0,0,0,0,0
432,1762970057467,0,0,0,0,0,0,0,0
433,1762970057635,0,0,0,0,0,0,0,0
434,1762970057884,0,0,0,0,0,0,0,0
435,1762970058001,0,0,0,0,0,0,0,0
436,1762970058067,0,0,0,0,0,0,0,0
437,1762970058201,0,0,0,0,0,0,0,0
438,1762970058284,0,0,0,0,0,0,0,0
439,1762970058533,0,0,0,0,0,0,0,0
440,1762970058733,0,0,0,0,0,0,0,0
441,1762970058884,0,0,0,0,0,0,0,0
442,1762970058967,0,0,0,0,0,0,0,0
443,1762970059066,0,0,0,0,0,0,0,0
444,1762970059183,0,0,0,0,0,0,0,0
445,1762970059301,0,0,0,3.26,0,0,0,0
446,1762970059550,0,0,0,0,0,0,0,0
447,1762970059732,0,0,0,3.31,0,0,0,0
448,1762970059848,0,0,0,0,0,0,0,0
449,1762970059932,0,0,0,0,0,0,0,0
450,1762970060065,0,0,0,0,0,0,0,0
451,1762970060415,0,0,0,0,0,0,0,0
452,1762970060549,0,0,0,0,0,0,0,0
453,1762970060599,0,0,0,0,0,0,0,0
454,1762970060731,0,0,0,0,0,0,0,0
455,1762970060848,0,0,0,0,0,0,0,0
456,1762970061031,0,0,0,0,0,0,0,0
457,1762970061197,0,0,0,0,0,0,0,0
458,1762970061432,0,0,0,0,0,0,0,0
459,1762970061598,0,0,0,0,0,0,0,0
460,1762970061830,0,0,0,0,0,0,0,0
461,1762970061965,0,0,0,0,0,0,0,0
462,1762970062080,0,0,0,0,0,0,0,0
463,1762970062347,0,0,0,0,0,0,0,0
464,1762970062830,0,0,0,0,0,0,0,0
465,1762970062930,0,0,0,33142,0,0,0,0
466,1762970063013,0,0,0,0,0,0,0,0
467,1762970063147,0,0,0,0,0,0,0,0
468,1762970063263,0,0,0,0,0,0,0,0
469,1762970063363,0,0,0,0,0,0,0,0
470,1762970063446,0,0,0,0,0,0,0,0
471,1762970063579,0,0,0,0,0,0,0,0
472,1762970063795,0,0,0,0,0,0,0,0
473,1762970063896,0,0,0,0,0,0,0,0
474,1762970064014,0,0,0,0,0,0,0,0
475,1762970064146,0,0,0,0,0,0,0,0
476,1762970064261,0,0,0,0,0,0,0,0
477,1762970064495,0,0,0,0,0,0,0,0
478,1762970064578,0,0,0,0,0,0,0,0
479,1762970064696,0,0,0,0,0,0,0,0
480,1762970064779,0,0,0,0,0,0,0,0
