index,date,1,2,3,4,5,6,7,8
3327,1762968503647,0,0,0,0,0,0,0,0
3328,1762968503795,0,0,0,0,0,0,0,0
3329,1762968503880,0,0,0,0,0,0,0,0
3330,1762968503997,0,0,0,0,0,0,0,0
3331,1762968504096,0,0,0,0,0,0,0,0
3332,1762968504214,0,0,0,0,0,0,0,0
3333,1762968504312,0,0,0,0,0,0,0,0
3334,1762968504431,0,0,0,0,0,0,0,0
3335,1762968504545,0,0,0,0,0,0,0,0
3336,1762968504647,0,0,0,0,0,0,0,0
3337,1762968504763,0,0,0,0,0,0,0,0
3338,1762968504911,0,0,0,0,0,0,0,0
3339,1762968505211,0,0,0,0,0,0,0,0
3340,1762968505311,0,0,0,0,0,0,0,0
3341,1762968505428,0,0,0,0,0,0,0,0
3342,1762968505529,0,0,0,0,0,0,0,0
3343,1762968505661,0,0,0,0,0,0,0,0
3344,1762968505744,0,0,0,0,0,0,0,0
3345,1762968505864,0,0,0,0,0,0,0,0
3346,1762968505964,0,0,0,0,0,0,0,0
3347,1762968506078,0,0,0,0,0,0,0,0
3348,1762968506195,0,0,0,0,0,0,0,0
3349,1762968506296,0,0,0,0,0,0,0,0
3350,1762968506410,0,0,0,0,0,0,0,0
3351,1762968506543,0,0,0,0,0,0,0,0
3352,1762968506661,0,0,0,0,0,0,0,0
3353,1762968506810,0,0,0,0,0,0,0,0
3354,1762968506993,0,0,0,0,0,0,0,0
3355,1762968507095,0,0,0,0,0,0,0,0
3356,1762968507177,0,0,0,0,0,0,0,0
3357,1762968507294,0,0,0,0,0,0,0,0
3358,1762968507426,0,0,0,0,0,0,0,0
3359,1762968507560,0,0,0,0,0,0,0,0
3360,1762968507675,0,0,0,0,0,0,0,0
3361,1762968507810,0,0,0,0,0,0,0,0
3362,1762968507875,0,0,0,0,0,0,0,0
3363,1762968508075,0,0,0,0,0,0,0,0
3364,1762968508160,0,0,0,0,0,0,0,0
3365,1762968508277,0,0,0,0,0,0,0,0
3366,1762968508392,0,0,0,0,0,0,0,0
3367,1762968508509,0,0,0,0,0,0,0,0
3368,1762968508609,0,0,0,0,0,0,0,0
