index,date,MIN_VOLTAGE,MAX_VOLTAGE,TOTAL_VOLTAGE,SHUNT_CURRENT,1,2,3,4
354,1762968313888,3.32,3.16,79.1,0,0,0,0,0
355,1762968315936,3.32,3.25,79.2,0,0,0,0,0
356,1762968316369,3.32,3.18,79.1,0,0,0,0,0
357,1762968317652,3.32,3.17,79.1,0,0,0,0,0
358,1762968318401,3.32,3.25,79.2,0,0,0,0,0
359,1762968318867,3.32,3.17,79.1,0,0,0,0,0
360,1762968319666,3.32,3.25,79.2,0,0,0,0,0
361,1762968320150,3.32,3.18,79.1,0,0,0,0,0
362,1762968320967,3.32,3.25,79.2,0,0,0,0,0
363,1762968321366,3.32,3.16,79.1,0,0,0,0,0
364,1762968322198,3.32,3.25,79.2,0,0,0,0,0
365,1762968322630,3.32,3.17,79.1,0,0,0,0,0
366,1762968323447,3.32,3.25,79.2,0,0,0,0,0
367,1762968323930,3.32,3.16,79.1,0,0,0,0,0
368,1762968324679,3.32,3.25,79.2,0,0,0,0,0
369,1762968325128,3.32,3.16,79.1,0,0,0,0,0
370,1762968327227,3.32,3.25,79.2,0,0,0,0,0
371,1762968327678,3.32,3.17,79.1,0,0,0,0,0
372,1762968328444,3.32,3.25,79.2,0,0,0,0,0
373,1762968328892,3.32,3.17,79.1,0,0,0,0,0
374,1762968329708,3.32,3.25,79.2,0,0,0,0,0
375,1762968330174,3.32,3.17,79.1,0,0,0,0,0
376,1762968330958,3.32,3.25,79.2,0,0,0,0,0
377,1762968331407,3.32,3.17,79.1,0,0,0,0,0
378,1762968332223,3.32,3.25,79.2,0,0,0,0,0
379,1762968332690,3.32,3.16,79.1,0,0,0,0,0
380,1762968333904,3.32,3.17,79.1,0,0,0,0,0
381,1762968334705,3.32,3.25,79.2,0,0,0,0,0
382,1762968335203,3.32,3.17,79.1,0,0,0,0,0
383,1762968335970,3.32,3.25,79.2,0,0,0,0,0
384,1762968336419,3.32,3.17,79.1,0,0,0,0,0
385,1762968337219,3.32,3.25,79.2,0,0,0,0,0
386,1762968337651,3.32,3.18,79.1,0,0,0,0,0
387,1762968338468,3.32,3.25,79.2,0,0,0,0,0
388,1762968338967,3.32,3.18,79.1,0,0,0,0,0
389,1762968340183,3.32,3.17,79.1,0,0,0,0,0
390,1762968340965,3.32,3.25,79.2,0,0,0,0,0
391,1762968341416,3.32,3.15,79.1,0,0,0,0,0
392,1762968342231,3.32,3.25,79.2,0,0,0,0,0
393,1762968342730,3.32,3.16,79.1,0,0,0,0,0
394,1762968343479,3.32,3.25,79.2,0,0,0,0,0
395,1762968343930,3.32,3.16,79.1,0,0,0,0,0
396,1762968344745,3.32,3.25,79.2,0,0,0,0,0
397,1762968345296,3.32,3.16,79.1,0,0,0,0,0
398,1762968346043,3.32,3.25,79.2,0,0,0,0,0
399,1762968346444,3.32,3.17,79.1,0,0,0,0,0
400,1762968347260,3.32,3.25,79.2,0,0,0,0,0
401,1762968347709,3.32,3.17,79.1,0,0,0,0,0
402,1762968348509,3.32,3.25,79.2,0,0,0,0,0
403,1762968348992,3.32,3.18,79.1,0,0,0,0,0
404,1762968349742,3.32,3.25,79.2,0,0,0,0,0
405,1762968350224,3.32,3.18,79.1,0,0,0,0,0
406,1762968351057,3.32,3.25,79.2,0,0,0,0,0
407,1762968351474,3.32,3.16,79.1,0,0,0,0,0
