index,date,LEFT_MOTOR_CURRENT
1244,1782591130264,0
1245,1782591130896,0
1246,1782591131247,0
1247,1782591131596,0
1248,1782591131713,0
1249,1782591132595,0
1250,1782591132879,0
1251,1782591136542,0
1252,1782591136692,0
1253,1782591137907,0
1254,1782591138258,0
1255,1782591139406,0
1256,1782591139739,0
1257,1782591140597,0
1258,1782591142421,0
1259,1782591143320,0
1260,1782591143519,0
1261,1782591143936,0
1262,1782591144036,0
1263,1782591145468,0
1264,1782591145669,0
1265,1782591145886,0
1266,1782591147017,0
1267,1782591147316,0
1268,1782591147500,0
1269,1782591148449,0
1270,1782591148549,0
1271,1782591148815,0
1272,1782591149764,0
1273,1782591149997,0
1274,1782591150530,0
1275,1782591150947,0
1276,1782591151611,0
1277,1782591152496,0
1278,1782591152646,0
1279,1782591152895,0
1280,1782591153511,0
1281,1782591154444,0
1282,1782591154561,0
1283,1782591154843,0
1284,1782591155693,0
1285,1782591156160,0
1286,1782591157208,0
1287,1782591157441,0
1288,1782591158308,0
1289,1782591158791,0
1290,1782591159556,0
1291,1782591161005,0
1292,1782591161055,0
1293,1782591162620,0
1294,1782591162620,0
1295,1782591163621,0
1296,1782591163770,0
1297,1782591164006,0
1298,1782591164902,0
1299,1782591165235,0
1300,1782591165401,0
1301,1782591171196,0
1302,1782591171514,0
1303,1782591172030,0
1304,1782591172380,0
1305,1782591172679,0
1306,1782591173637,0
1307,1782591174277,0
1308,1782591174512,0
1309,1782591174794,0
1310,1782591178008,0
1311,1782591178357,0
1312,1782591178674,0
1313,1782591178941,0
1314,1782591180039,0
1315,1782591186552,0
1316,1782591186801,0
1317,1782591190864,0
1318,1782591192330,0
1319,1782591192645,0
1320,1782591192979,0
1321,1782591193312,0
1322,1782591193695,0
1323,1782591193762,0
1324,1782591194211,0
1325,1782591194510,0
1326,1782591196275,0
1327,1782591196542,0
1328,1782591198290,0
1329,1782591199456,0
1330,1782591200073,0
1331,1782591200439,0
1332,1782591200822,0
1333,1782591201039,0
1334,1782591201239,0
1335,1782591201605,0
1336,1782591201937,0
1337,1782591202271,0
1338,1782591202537,0
1339,1782591203520,0
1340,1782591203603,0
1341,1782591204002,0
1342,1782591204618,0
1343,1782591206934,0
1344,1782591207533,0
1345,1782591208432,0
1346,1782591208565,0
1347,1782591208899,0
1348,1782591209181,0
1349,1782591209865,0
1350,1782591210929,0
1351,1782591211279,0
1352,1782591211895,0
1353,1782591216858,0
1354,1782591217657,0
1355,1782591217658,0
1356,1782591217891,0
1357,1782591218123,0
1358,1782591218623,0
1359,1782591218957,0
1360,1782591219322,0
1361,1782591219656,0
1362,1782591219906,0
1363,1782591220222,0
1364,1782591220488,0
1365,1782591220688,0
1366,1782591221004,0
1367,1782591222853,0
1368,1782591224035,0
1369,1782591224335,0
1370,1782591224718,0
1371,1782591225001,0
1372,1782591225350,0
1373,1782591226067,0
1374,1782591226400,0
1375,1782591226716,0
1376,1782591228654,0
1377,1782591228656,0
1378,1782591228682,0
1379,1782591228781,0
1380,1782591229097,0
1381,1782591232328,0
1382,1782591232695,0
1383,1782591235459,0
1384,1782591236158,0
1385,1782591237690,0
1386,1782591237774,0
1387,1782591238040,0
