index,date,LOST_MSG_R_MOTOR,BUS_OFF_R_MOTOR,CAN_STATE_R_MOTOR
1716,1782591438987,0,0,2
1717,1782591440337,0,0,2
1718,1782591440586,0,0,2
1719,1782591441486,0,0,2
1720,1782591441669,0,0,2
1721,1782591441886,0,0,2
1722,1782591443001,0,0,2
1723,1782591443518,0,0,2
1724,1782591445132,0,0,2
1725,1782591446898,0,0,2
1726,1782591447114,0,0,2
1727,1782591447247,0,0,2
1728,1782591448663,0,0,2
1729,1782591449678,0,0,2
1730,1782591449862,0,0,2
1731,1782591450977,0,0,2
1732,1782591451194,0,0,2
1733,1782591451811,0,0,2
1734,1782591452676,0,0,2
1735,1782591452876,0,0,2
1736,1782591453109,0,0,2
1737,1782591453942,0,0,2
1738,1782591454341,0,0,2
1739,1782591454508,0,0,2
1740,1782591456024,0,0,2
1741,1782591456024,0,0,2
1742,1782591456040,0,0,2
1743,1782591456457,0,0,2
1744,1782591456607,0,0,2
1745,1782591457489,0,0,2
1746,1782591457738,0,0,2
1747,1782591458805,0,0,2
1748,1782591458954,0,0,2
1749,1782591459805,0,0,2
1750,1782591460869,0,0,2
1751,1782591460969,0,0,2
1752,1782591461419,0,0,2
1753,1782591462218,0,0,2
1754,1782591462335,0,0,2
1755,1782591463201,0,0,2
1756,1782591463417,0,0,2
1757,1782591463667,0,0,2
1758,1782591463967,0,0,2
1759,1782591464566,0,0,2
1760,1782591465982,0,0,2
1761,1782591466981,0,0,2
1762,1782591466981,0,0,2
1763,1782591466998,0,0,2
1764,1782591469047,0,0,2
1765,1782591469678,0,0,2
1766,1782591469845,0,0,2
1767,1782591470961,0,0,2
1768,1782591471128,0,0,2
1769,1782591472427,0,0,2
1770,1782591472643,0,0,2
1771,1782591473542,0,0,2
1772,1782591473808,0,0,2
1773,1782591473992,0,0,2
1774,1782591474458,0,0,2
1775,1782591475507,0,0,2
1776,1782591475774,0,0,2
1777,1782591475941,0,0,2
1778,1782591476173,0,0,2
1779,1782591478018,0,0,2
1780,1782591478039,0,0,2
1781,1782591478155,0,0,2
1782,1782591478321,0,0,2
1783,1782591478587,0,0,2
1784,1782591479971,0,0,2
1785,1782591480153,0,0,2
1786,1782591481587,0,0,2
1787,1782591482069,0,0,2
1788,1782591482401,0,0,2
1789,1782591482586,0,0,2
1790,1782591484084,0,0,2
1791,1782591484767,0,0,2
1792,1782591485616,0,0,2
1793,1782591485900,0,0,2
1794,1782591486682,0,0,2
1795,1782591486882,0,0,2
1796,1782591487648,0,0,2
1797,1782591487831,0,0,2
1798,1782591489280,0,0,2
1799,1782591490346,0,0,2
1800,1782591490530,0,0,2
1801,1782591492311,0,0,2
1802,1782591492444,0,0,2
1803,1782591492944,0,0,2
1804,1782591494142,0,0,2
1805,1782591494291,0,0,2
1806,1782591495175,0,0,2
1807,1782591495424,0,0,2
1808,1782591495690,0,0,2
1809,1782591495857,0,0,2
1810,1782591497056,0,0,2
1811,1782591497240,0,0,2
1812,1782591498721,0,0,2
1813,1782591498822,0,0,2
1814,1782591500055,0,0,2
1815,1782591500304,0,0,2
1816,1782591500553,0,0,2
1817,1782591500720,0,0,2
1818,1782591502170,0,0,2
1819,1782591503751,0,0,2
1820,1782591503951,0,0,2
1821,1782591504367,0,0,2
1822,1782591504917,0,0,2
1823,1782591506031,0,0,2
1824,1782591506131,0,0,2
1825,1782591506432,0,0,2
1826,1782591507264,0,0,2
1827,1782591507547,0,0,2
1828,1782591508880,0,0,2
1829,1782591511062,0,0,2
1830,1782591511063,0,0,2
1831,1782591511279,0,0,2
1832,1782591512443,0,0,2
1833,1782591512610,0,0,2
1834,1782591512861,0,0,2
1835,1782591513225,0,0,2
1836,1782591513492,0,0,2
1837,1782591513825,0,0,2
1838,1782591514942,0,0,2
1839,1782591516806,0,0,2
1840,1782591517123,0,0,2
1841,1782591518221,0,0,2
1842,1782591518588,0,0,2
1843,1782591518971,0,0,2
1844,1782591519286,0,0,2
1845,1782591519604,0,0,2
1846,1782591519753,0,0,2
1847,1782591520070,0,0,2
1848,1782591520420,0,0,2
1849,1782591520752,0,0,2
1850,1782591520986,0,0,2
1851,1782591524199,0,0,2
1852,1782591525699,0,0,2
1853,1782591526097,0,0,2
1854,1782591526398,0,0,2
1855,1782591527465,0,0,2
1856,1782591527465,0,0,2
1857,1782591527466,0,0,2
1858,1782591527497,0,0,2
1859,1782591527896,0,0,2
1860,1782591528163,0,0,2
1861,1782591528463,0,0,2
1862,1782591529595,0,0,2
1863,1782591534541,0,0,2
1864,1782591534874,0,0,2
1865,1782591535207,0,0,2
1866,1782591536938,0,0,2
1867,1782591537837,0,0,2
1868,1782591538121,0,0,2
1869,1782591539253,0,0,2
1870,1782591539503,0,0,2
1871,1782591539836,0,0,2
1872,1782591540452,0,0,2
1873,1782591544132,0,0,2
1874,1782591544150,0,0,2
1875,1782591544166,0,0,2
1876,1782591544216,0,0,2
1877,1782591544865,0,0,2
1878,1782591545215,0,0,2
1879,1782591545448,0,0,2
1880,1782591545798,0,0,2
1881,1782591546464,0,0,2
1882,1782591546581,0,0,2
1883,1782591546997,0,0,2
1884,1782591547280,0,0,2
1885,1782591551043,0,0,2
1886,1782591551926,0,0,2
