index,date,SPEED_AVG,STEERING_WHEEL,THROTTLE,BRAKE,5,6,7,8
1174,1762970144044,0,0,0,0,0,0,0,0
1175,1762970144145,0,0,0,0,0,0,0,0
1176,1762970144244,0,0,0,0,0,0,0,0
1177,1762970144377,0,0,0,0,0,0,0,0
1178,1762970144477,0,0,0,0,0,0,0,0
1179,1762970144577,0,0,0,0,0,0,0,0
1180,1762970144678,0,0,0,0,0,0,0,0
1181,1762970147825,0,0,0,0,0,0,0,0
1182,1762970147960,0,0,0,0,0,0,0,0
1183,1762970148043,0,0,0,0,0,0,0,0
1184,1762970148142,0,0,0,0,0,0,0,0
1185,1762970148242,0,0,0,0,0,0,0,0
1186,1762970148359,0,0,0,0,0,0,0,0
1187,1762970148475,0,0,0,0,0,0,0,0
1188,1762970148609,0,0,0,0,0,0,0,0
1189,1762970148692,0,0,0,0,0,0,0,0
1190,1762970148810,0,0,0,0,0,0,0,0
1191,1762970149042,0,0,0,0,0,0,0,0
1192,1762970149125,0,0,0,0,0,0,0,0
1193,1762970149242,0,0,0,0,0,0,0,0
1194,1762970149458,0,0,0,0,0,0,0,0
1195,1762970149558,0,0,0,0,0,0,0,0
1196,1762970149691,0,0,0,0,0,0,0,0
1197,1762970149790,0,0,0,0,0,0,0,0
1198,1762970149974,0,0,0,0,0,0,0,0
1199,1762970150073,0,0,0,0,0,0,0,0
1200,1762970150174,0,0,0,0,0,0,0,0
1201,1762970150357,0,0,0,0,0,0,0,0
1202,1762970150445,0,0,0,0,0,0,0,0
1203,1762970150574,0,0,0,0,0,0,0,0
1204,1762970150673,0,0,0,0,0,0,0,0
1205,1762970150790,0,0,0,0,0,0,0,0
1206,1762970150906,0,0,0,0,0,0,0,0
1207,1762970151223,0,0,0,0,0,0,0,0
1208,1762970151322,0,0,0,0,0,0,0,0
1209,1762970151439,0,0,0,0,0,0,0,0
1210,1762970151556,0,0,0,0,0,0,0,0
1211,1762970151675,0,0,0,0,0,0,0,0
1212,1762970151805,0,0,0,0,0,0,0,0
1213,1762970151889,0,0,0,0,0,0,0,0
1214,1762970152039,0,0,0,0,0,0,0,0
1215,1762970152106,0,0,0,0,0,0,0,0
1216,1762970152207,0,0,0,0,0,0,0,0
