index,date,TEMPERATURE,1,2,3,4,5,6,7
755,1765218637026,802,0,0,0,0,0,0,0
756,1765218637159,798,0,0,0,0,0,0,0
757,1765218637343,802,0,0,0,0,0,0,0
758,1765218637442,821,0,0,0,0,0,0,0
759,1765218637727,809,0,0,0,0,0,0,0
760,1765218637944,804,0,0,0,0,0,0,0
761,1765218638143,804,0,0,0,0,0,0,0
762,1765218638277,800,0,0,0,0,0,0,0
763,1765218638427,806,0,0,0,0,0,0,0
764,1765218638576,811,0,0,0,0,0,0,0
765,1765218638811,804,0,0,0,0,0,0,0
766,1765218638977,809,0,0,0,0,0,0,0
767,1765218639093,796,0,0,0,0,0,0,0
768,1765218639275,804,0,0,0,0,0,0,0
769,1765218639743,804,0,0,0,0,0,0,0
770,1765218639860,806,0,0,0,0,0,0,0
771,1765218640028,806,0,0,0,0,0,0,0
772,1765218640076,804,0,0,0,0,0,0,0
773,1765218640177,800,0,0,0,0,0,0,0
774,1765218640408,804,0,0,0,0,0,0,0
775,1765218640527,804,0,0,0,0,0,0,0
776,1765218640744,806,0,0,0,0,0,0,0
777,1765218640877,804,0,0,0,0,0,0,0
778,1765218641111,804,0,0,0,0,0,0,0
779,1765218641577,804,0,0,0,0,0,0,0
780,1765218641642,809,0,0,0,0,0,0,0
781,1765218641860,817,0,0,0,0,0,0,0
782,1765218641994,806,0,0,0,0,0,0,0
783,1765218642258,798,0,0,0,0,0,0,0
784,1765218642344,804,0,0,0,0,0,0,0
785,1765218642559,800,0,0,0,0,0,0,0
786,1765218642693,815,0,0,0,0,0,0,0
787,1765218642994,815,0,0,0,0,0,0,0
788,1765218643060,809,0,0,0,0,0,0,0
789,1765218643227,796,0,0,0,0,0,0,0
790,1765218643410,806,0,0,0,0,0,0,0
791,1765218643561,817,0,0,0,0,0,0,0
792,1765218643727,804,0,0,0,0,0,0,0
793,1765218643960,817,0,0,0,0,0,0,0
794,1765218644189,800,0,0,0,0,0,0,0
795,1765218644294,804,0,0,0,0,0,0,0
796,1765218644510,811,0,0,0,0,0,0,0
797,1765218644760,806,0,0,0,0,0,0,0
798,1765218644877,811,0,0,0,0,0,0,0
799,1765218645259,804,0,0,0,0,0,0,0
800,1765218645359,811,0,0,0,0,0,0,0
801,1765218645593,806,0,0,0,0,0,0,0
802,1765218645742,804,0,0,0,0,0,0,0
803,1765218645943,806,0,0,0,0,0,0,0
804,1765218646026,817,0,0,0,0,0,0,0
805,1765218646477,813,0,0,0,0,0,0,0
806,1765218646711,802,0,0,0,0,0,0,0
807,1765218646793,821,0,0,0,0,0,0,0
808,1765218646993,809,0,0,0,0,0,0,0
809,1765218647177,817,0,0,0,0,0,0,0
810,1765218647392,800,0,0,0,0,0,0,0
811,1765218647477,809,0,0,0,0,0,0,0
812,1765218647710,813,0,0,0,0,0,0,0
813,1765218647860,806,0,0,0,0,0,0,0
814,1765218648160,813,0,0,0,0,0,0,0
815,1765218648309,809,0,0,0,0,0,0,0
816,1765218648477,817,0,0,0,0,0,0,0
817,1765218648609,823,0,0,0,0,0,0,0
818,1765218648992,809,0,0,0,0,0,0,0
819,1765218649142,819,0,0,0,0,0,0,0
820,1765218649292,819,0,0,0,0,0,0,0
821,1765218649744,806,0,0,0,0,0,0,0
822,1765218649892,819,0,0,0,0,0,0,0
823,1765218650026,813,0,0,0,0,0,0,0
824,1765218650126,819,0,0,0,0,0,0,0
825,1765218650193,811,0,0,0,0,0,0,0
826,1765218650409,812,0,0,0,0,0,0,0
827,1765218650593,817,0,0,0,0,0,0,0
828,1765218650825,818,0,0,0,0,0,0,0
829,1765218650892,806,0,0,0,0,0,0,0
830,1765218651110,817,0,0,0,0,0,0,0
831,1765218651543,817,0,0,0,0,0,0,0
832,1765218651643,811,0,0,0,0,0,0,0
833,1765218651842,796,0,0,0,0,0,0,0
834,1765218651993,811,0,0,0,0,0,0,0
835,1765218652226,815,0,0,0,0,0,0,0
836,1765218652326,813,0,0,0,0,0,0,0
837,1765218652542,817,0,0,0,0,0,0,0
838,1765218652693,821,0,0,0,0,0,0,0
839,1765218652826,814,0,0,0,0,0,0,0
840,1765218653060,812,0,0,0,0,0,0,0
841,1765218653293,834,0,0,0,0,0,0,0
842,1765218653427,821,0,0,0,0,0,0,0
843,1765218653626,823,0,0,0,0,0,0,0
844,1765218653759,817,0,0,0,0,0,0,0
845,1765218654010,823,0,0,0,0,0,0,0
846,1765218654143,819,0,0,0,0,0,0,0
847,1765218654360,821,0,0,0,0,0,0,0
848,1765218654510,820,0,0,0,0,0,0,0
849,1765218654827,825,0,0,0,0,0,0,0
850,1765218654893,811,0,0,0,0,0,0,0
851,1765218655116,833,0,0,0,0,0,0,0
852,1765218655141,815,0,0,0,0,0,0,0
853,1765218655260,815,0,0,0,0,0,0,0
854,1765218655543,811,0,0,0,0,0,0,0
855,1765218655660,815,0,0,0,0,0,0,0
856,1765218655924,802,0,0,0,0,0,0,0
857,1765218656009,826,0,0,0,0,0,0,0
858,1765218656293,817,0,0,0,0,0,0,0
859,1765218656577,809,0,0,0,0,0,0,0
860,1765218656693,824,0,0,0,0,0,0,0
861,1765218656927,824,0,0,0,0,0,0,0
862,1765218657077,819,0,0,0,0,0,0,0
863,1765218657344,806,0,0,0,0,0,0,0
864,1765218657476,815,0,0,0,0,0,0,0
865,1765218657642,826,0,0,0,0,0,0,0
866,1765218657726,817,0,0,0,0,0,0,0
867,1765218657977,821,0,0,0,0,0,0,0
868,1765218658094,815,0,0,0,0,0,0,0
869,1765218658475,828,0,0,0,0,0,0,0
870,1765218658658,823,0,0,0,0,0,0,0
871,1765218658792,822,0,0,0,0,0,0,0
872,1765218659059,817,0,0,0,0,0,0,0
873,1765218659175,829,0,0,0,0,0,0,0
874,1765218659475,827,0,0,0,0,0,0,0
875,1765218659675,829,0,0,0,0,0,0,0
876,1765218659875,819,0,0,0,0,0,0,0
877,1765218660042,832,0,0,0,0,0,0,0
878,1765218660259,825,0,0,0,0,0,0,0
879,1765218660425,819,0,0,0,0,0,0,0
880,1765218660592,828,0,0,0,0,0,0,0
881,1765218660808,827,0,0,0,0,0,0,0
882,1765218660960,818,0,0,0,0,0,0,0
883,1765218661342,834,0,0,0,0,0,0,0
884,1765218661425,837,0,0,0,0,0,0,0
885,1765218661525,827,0,0,0,0,0,0,0
886,1765218662058,833,0,0,0,0,0,0,0
887,1765218662192,833,0,0,0,0,0,0,0
888,1765218662426,816,0,0,0,0,0,0,0
889,1765218662492,824,0,0,0,0,0,0,0
890,1765218662942,823,0,0,0,0,0,0,0
891,1765218663175,831,0,0,0,0,0,0,0
892,1765218663241,829,0,0,0,0,0,0,0
893,1765218663325,819,0,0,0,0,0,0,0
894,1765218663474,822,0,0,0,0,0,0,0
895,1765218663609,827,0,0,0,0,0,0,0
896,1765218663893,830,0,0,0,0,0,0,0
897,1765218664025,835,0,0,0,0,0,0,0
898,1765218664125,824,0,0,0,0,0,0,0
899,1765218664324,831,0,0,0,0,0,0,0
900,1765218664858,825,0,0,0,0,0,0,0
901,1765218665058,827,0,0,0,0,0,0,0
902,1765218665342,828,0,0,0,0,0,0,0
903,1765218665692,837,0,0,0,0,0,0,0
904,1765218665842,818,0,0,0,0,0,0,0
905,1765218665942,839,0,0,0,0,0,0,0
906,1765218666558,824,0,0,0,0,0,0,0
907,1765218666675,837,0,0,0,0,0,0,0
908,1765218666975,831,0,0,0,0,0,0,0
909,1765218667149,839,0,0,0,0,0,0,0
910,1765218667374,829,0,0,0,0,0,0,0
911,1765218668509,837,0,0,0,0,0,0,0
912,1765218668925,837,0,0,0,0,0,0,0
913,1765218669058,839,0,0,0,0,0,0,0
914,1765218669275,837,0,0,0,0,0,0,0
915,1765218669342,844,0,0,0,0,0,0,0
916,1765218669708,17232,0,0,0,0,0,0,0
917,1765218670208,827,0,0,0,0,0,0,0
918,1765218670675,844,0,0,0,0,0,0,0
919,1765218671724,833,0,0,0,0,0,0,0
920,1765218675407,842,0,0,0,0,0,0,0
921,1765218675574,844,0,0,0,0,0,0,0
922,1765218676342,835,0,0,0,0,0,0,0
923,1765218677525,839,0,0,0,0,0,0,0
924,1765218678675,19851,0,0,0,0,0,0,0
925,1765218679059,848,0,0,0,0,0,0,0
926,1765218679275,844,0,0,0,0,0,0,0
927,1765218679475,844,0,0,0,0,0,0,0
928,1765218679641,844,0,0,0,0,0,0,0
929,1765218680092,846,0,0,0,0,0,0,0
930,1765218680759,844,0,0,0,0,0,0,0
931,1765218681159,846,0,0,0,0,0,0,0
932,1765218681758,850,0,0,0,0,0,0,0
933,1765218682025,844,0,0,0,0,0,0,0
934,1765218682091,833,0,0,0,0,0,0,0
935,1765218682726,839,0,0,0,0,0,0,0
936,1765218683025,839,0,0,0,0,0,0,0
937,1765218683475,846,0,0,0,0,0,0,0
938,1765218683641,846,0,0,0,0,0,0,0
939,1765218683775,846,0,0,0,0,0,0,0
