index,date,INV_STATE_L_MOTOR,FAILURE_L_MOTOR,ALARM_L_MOTOR,1,2,3,4,5
861,1762968180082,0,0,0,0,0,0,0,0
862,1762968180182,0,0,0,0,0,0,0,0
863,1762968180299,0,0,0,3.27,0,0,0,0
864,1762968180548,0,0,0,0,0,0,0,0
865,1762968180815,0,0,0,0,0,0,0,0
866,1762968181065,0,0,0,0,0,0,0,0
867,1762968181181,0,0,0,0,0,0,0,0
868,1762968181298,0,0,0,0,0,0,0,0
869,1762968181398,0,0,0,0,0,0,0,0
870,1762968181632,0,0,0,0,0,0,0,0
871,1762968181747,0,0,0,0,0,0,0,0
872,1762968181864,0,0,0,0,0,0,0,0
873,1762968181998,0,0,0,0,0,0,0,0
874,1762968182180,0,0,0,0,0,0,0,0
875,1762968182280,0,0,0,0,0,0,0,0
876,1762968182398,0,0,0,0,0,0,0,0
877,1762968182501,0,0,0,0,0,0,0,0
878,1762968182614,0,0,0,0,0,0,0,0
879,1762968182729,0,0,0,0,0,0,0,0
880,1762968182947,0,0,0,0,0,0,0,0
881,1762968183146,0,0,0,0,0,0,0,0
882,1762968183296,0,0,0,3.31,0,0,0,0
883,1762968183379,0,0,0,0,0,0,0,0
884,1762968183479,0,0,0,0,0,0,0,0
885,1762968183597,0,0,0,0,0,0,0,0
886,1762968183851,0,0,0,0,0,0,0,0
887,1762968183945,0,0,0,0,0,0,0,0
888,1762968184045,0,0,0,0,0,0,0,0
889,1762968184479,0,0,0,0,0,0,0,0
890,1762968184596,0,0,0,0,0,0,0,0
891,1762968184763,0,0,0,0,0,0,0,0
892,1762968184829,0,0,0,0,0,0,0,0
893,1762968185146,0,0,0,0,0,0,0,0
894,1762968185880,0,0,0,0,0,0,0,0
895,1762968186710,0,0,0,0,0,0,0,0
896,1762968188676,0,0,0,0,0,0,0,0
897,1762968188776,0,0,0,0,0,0,0,0
898,1762968188892,0,0,0,0,0,0,0,0
899,1762968188992,0,0,0,0,0,0,0,0
900,1762968189109,0,0,0,0,0,0,0,0
901,1762968189226,0,0,0,0,0,0,0,0
902,1762968189325,0,0,0,0,0,0,0,0
903,1762968189425,0,0,0,0,0,0,0,0
904,1762968189691,0,0,0,0,0,0,0,0
905,1762968189775,0,0,0,0,0,0,0,0
906,1762968189925,0,0,0,0,0,0,0,0
907,1762968190107,0,0,0,0,0,0,0,0
908,1762968190206,0,0,0,0,0,0,0,0
909,1762968190325,0,0,0,0,0,0,0,0
910,1762968190407,0,0,0,0,0,0,0,0
911,1762968190540,0,0,0,0,0,0,0,0
912,1762968190639,0,0,0,0,0,0,0,0
913,1762968190756,0,0,0,0,0,0,0,0
914,1762968190857,0,0,0,0,0,0,0,0
915,1762968190975,0,0,0,0,0,0,0,0
916,1762968191091,0,0,0,0,0,0,0,0
917,1762968191190,0,0,0,0,0,0,0,0
918,1762968191441,0,0,0,0,0,0,0,0
919,1762968191540,0,0,0,0,0,0,0,0
920,1762968191640,0,0,0,0,0,0,0,0
921,1762968191857,0,0,0,0,0,0,0,0
922,1762968192072,0,0,0,0,0,0,0,0
923,1762968192173,0,0,0,0,0,0,0,0
924,1762968192289,0,0,0,0,0,0,0,0
925,1762968192406,0,0,0,0,0,0,0,0
926,1762968192523,0,0,0,0,0,0,0,0
927,1762968192638,0,0,0,0,0,0,0,0
928,1762968192805,0,0,0,0,0,0,0,0
929,1762968192955,0,0,0,3.31,0,0,0,0
930,1762968193288,0,0,0,0,0,0,0,0
931,1762968193390,0,0,0,0,0,0,0,0
932,1762968193505,0,0,0,0,0,0,0,0
933,1762968193722,0,0,0,0,0,0,0,0
934,1762968193838,0,0,0,0,0,0,0,0
935,1762968193970,0,0,0,0,0,0,0,0
936,1762968194053,0,0,0,0,0,0,0,0
937,1762968194171,0,0,0,0,0,0,0,0
938,1762968194271,0,0,0,0,0,0,0,0
939,1762968194387,0,0,0,0,0,0,0,0
940,1762968194504,0,0,0,0,0,0,0,0
941,1762968194620,0,0,0,0,0,0,0,0
942,1762968194739,0,0,0,0,0,0,0,0
